Image Search interest
United States; 2010

Interest over time
Week,Finance
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+5%
2010-01-17 - 2010-01-23,+1%
2010-01-24 - 2010-01-30,+1%
2010-01-31 - 2010-02-06,+1%
2010-02-07 - 2010-02-13,+2%
2010-02-14 - 2010-02-20,+0%
2010-02-21 - 2010-02-27,+6%
2010-02-28 - 2010-03-06,+5%
2010-03-07 - 2010-03-13,+6%
2010-03-14 - 2010-03-20,+8%
2010-03-21 - 2010-03-27,+9%
2010-03-28 - 2010-04-03,-1%
2010-04-04 - 2010-04-10,+9%
2010-04-11 - 2010-04-17,+15%
2010-04-18 - 2010-04-24,+8%
2010-04-25 - 2010-05-01,+13%
2010-05-02 - 2010-05-08,+2%
2010-05-09 - 2010-05-15,+9%
2010-05-16 - 2010-05-22,+8%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+0%
2010-06-06 - 2010-06-12,+9%
2010-06-13 - 2010-06-19,+6%
2010-06-20 - 2010-06-26,+5%
2010-06-27 - 2010-07-03,+1%
2010-07-04 - 2010-07-10,-16%
2010-07-11 - 2010-07-17,-2%
2010-07-18 - 2010-07-24,-1%
2010-07-25 - 2010-07-31,-2%
2010-08-01 - 2010-08-07,+3%
2010-08-08 - 2010-08-14,-6%
2010-08-15 - 2010-08-21,-1%
2010-08-22 - 2010-08-28,-2%
2010-08-29 - 2010-09-04,-2%
2010-09-05 - 2010-09-11,-1%
2010-09-12 - 2010-09-18,+1%
2010-09-19 - 2010-09-25,+2%
2010-09-26 - 2010-10-02,+6%
2010-10-03 - 2010-10-09,+1%
2010-10-10 - 2010-10-16,+3%
2010-10-17 - 2010-10-23,+2%
2010-10-24 - 2010-10-30,-3%
2010-10-31 - 2010-11-06,-2%
2010-11-07 - 2010-11-13,+8%
2010-11-14 - 2010-11-20,+2%
2010-11-21 - 2010-11-27,-13%
2010-11-28 - 2010-12-04,+0%
2010-12-05 - 2010-12-11,+3%
2010-12-12 - 2010-12-18,-1%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-15%



Top searches
money,100
bank,75
card,65
credit,55
insurance,40
credit card,30
dollar,30
chase,30
stock,25
currency,20
check,20
visa,15
tax,15
bank of america,15
fx,15
geico,15
euro,15
penny,15
financial,15
american express,15



Rising searches
archer,Breakout
archer fx,Breakout
inception,Breakout
bounty hunter,+170%
fx,+140%
citibank,+70%
banking,+50%
chase bank,+40%
debit card,+40%
dinero,+40%



