Web Search interest
United States; 2004

Interest over time
Week,Arts & Entertainment
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-1%
2004-01-18 - 2004-01-24,+1%
2004-01-25 - 2004-01-31,+0%
2004-02-01 - 2004-02-07,+1%
2004-02-08 - 2004-02-14,-2%
2004-02-15 - 2004-02-21,+1%
2004-02-22 - 2004-02-28,+2%
2004-02-29 - 2004-03-06,+0%
2004-03-07 - 2004-03-13,+3%
2004-03-14 - 2004-03-20,-2%
2004-03-21 - 2004-03-27,+3%
2004-03-28 - 2004-04-03,-1%
2004-04-04 - 2004-04-10,+1%
2004-04-11 - 2004-04-17,-1%
2004-04-18 - 2004-04-24,-2%
2004-04-25 - 2004-05-01,-1%
2004-05-02 - 2004-05-08,-3%
2004-05-09 - 2004-05-15,-1%
2004-05-16 - 2004-05-22,+0%
2004-05-23 - 2004-05-29,+1%
2004-05-30 - 2004-06-05,-1%
2004-06-06 - 2004-06-12,+1%
2004-06-13 - 2004-06-19,-6%
2004-06-20 - 2004-06-26,-1%
2004-06-27 - 2004-07-03,-2%
2004-07-04 - 2004-07-10,+2%
2004-07-11 - 2004-07-17,-3%
2004-07-18 - 2004-07-24,+0%
2004-07-25 - 2004-07-31,-2%
2004-08-01 - 2004-08-07,-1%
2004-08-08 - 2004-08-14,-6%
2004-08-15 - 2004-08-21,-7%
2004-08-22 - 2004-08-28,-5%
2004-08-29 - 2004-09-04,-4%
2004-09-05 - 2004-09-11,-6%
2004-09-12 - 2004-09-18,-6%
2004-09-19 - 2004-09-25,-1%
2004-09-26 - 2004-10-02,-4%
2004-10-03 - 2004-10-09,-4%
2004-10-10 - 2004-10-16,-3%
2004-10-17 - 2004-10-23,-2%
2004-10-24 - 2004-10-30,-2%
2004-10-31 - 2004-11-06,-3%
2004-11-07 - 2004-11-13,+4%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,+6%
2004-11-28 - 2004-12-04,+2%
2004-12-05 - 2004-12-11,+2%
2004-12-12 - 2004-12-18,+4%
2004-12-19 - 2004-12-25,+4%
2004-12-26 - 2005-01-01,+2%



Top searches
lyrics,100
music,45
pictures,25
radio,20
movies,20
games,10
songs,10
mp3,10
song lyrics,5
jokes,5
disney,5
free music,5
anime,5
sony,5
guitar tabs,5
free games,5
digital camera,5
free movies,5
online games,5
star wars,5



Rising searches
air america,Breakout
janet jackson,+400%
lindsay lohan,+300%
usher,+250%
world of warcraft,+200%
usher lyrics,+150%
michael moore,+120%
green day,+90%
runescape,+90%
spiderman,+70%



