Web Search interest
United States; 2004

Interest over time
Week,Hobbies & Leisure
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-2%
2004-01-18 - 2004-01-24,+2%
2004-01-25 - 2004-01-31,-7%
2004-02-01 - 2004-02-07,-6%
2004-02-08 - 2004-02-14,+2%
2004-02-15 - 2004-02-21,+0%
2004-02-22 - 2004-02-28,+2%
2004-02-29 - 2004-03-06,+0%
2004-03-07 - 2004-03-13,-4%
2004-03-14 - 2004-03-20,+2%
2004-03-21 - 2004-03-27,+2%
2004-03-28 - 2004-04-03,+2%
2004-04-04 - 2004-04-10,+4%
2004-04-11 - 2004-04-17,-1%
2004-04-18 - 2004-04-24,+2%
2004-04-25 - 2004-05-01,+2%
2004-05-02 - 2004-05-08,+4%
2004-05-09 - 2004-05-15,-1%
2004-05-16 - 2004-05-22,+4%
2004-05-23 - 2004-05-29,+4%
2004-05-30 - 2004-06-05,+7%
2004-06-06 - 2004-06-12,+2%
2004-06-13 - 2004-06-19,+5%
2004-06-20 - 2004-06-26,+6%
2004-06-27 - 2004-07-03,+11%
2004-07-04 - 2004-07-10,+13%
2004-07-11 - 2004-07-17,+10%
2004-07-18 - 2004-07-24,+11%
2004-07-25 - 2004-07-31,+6%
2004-08-01 - 2004-08-07,+2%
2004-08-08 - 2004-08-14,+0%
2004-08-15 - 2004-08-21,+2%
2004-08-22 - 2004-08-28,+2%
2004-08-29 - 2004-09-04,-2%
2004-09-05 - 2004-09-11,-2%
2004-09-12 - 2004-09-18,-5%
2004-09-19 - 2004-09-25,-2%
2004-09-26 - 2004-10-02,-4%
2004-10-03 - 2004-10-09,-2%
2004-10-10 - 2004-10-16,+0%
2004-10-17 - 2004-10-23,-7%
2004-10-24 - 2004-10-30,-1%
2004-10-31 - 2004-11-06,-4%
2004-11-07 - 2004-11-13,-2%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,+10%
2004-11-28 - 2004-12-04,+8%
2004-12-05 - 2004-12-11,+13%
2004-12-12 - 2004-12-18,+11%
2004-12-19 - 2004-12-25,+20%
2004-12-26 - 2005-01-01,+5%



Top searches
dog,100
wedding,85
lottery,80
christmas,70
dogs,50
fishing,45
fish,40
digital camera,40
cat,35
sony,35
boats,35
paintball,35
photography,30
lotto,30
puppies,25
nikon,25
halloween,25
cats,25
santa,20
horses,20



Rising searches
tour de france,+1,550%
thanksgiving,+1,150%
halloween,+1,050%
william hung,+950%
christmas,+300%
lance armstrong,+300%
nikon d70,+150%
santa,+100%
trek,+80%
easter,+70%



