Web Search interest
United States; 2005

Interest over time
Week,Shopping
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-3%
2005-01-16 - 2005-01-22,-5%
2005-01-23 - 2005-01-29,-4%
2005-01-30 - 2005-02-05,-5%
2005-02-06 - 2005-02-12,-1%
2005-02-13 - 2005-02-19,-1%
2005-02-20 - 2005-02-26,-7%
2005-02-27 - 2005-03-05,-4%
2005-03-06 - 2005-03-12,-5%
2005-03-13 - 2005-03-19,-8%
2005-03-20 - 2005-03-26,+0%
2005-03-27 - 2005-04-02,-5%
2005-04-03 - 2005-04-09,-7%
2005-04-10 - 2005-04-16,-7%
2005-04-17 - 2005-04-23,-8%
2005-04-24 - 2005-04-30,-7%
2005-05-01 - 2005-05-07,-4%
2005-05-08 - 2005-05-14,-5%
2005-05-15 - 2005-05-21,-3%
2005-05-22 - 2005-05-28,-1%
2005-05-29 - 2005-06-04,-1%
2005-06-05 - 2005-06-11,-1%
2005-06-12 - 2005-06-18,+1%
2005-06-19 - 2005-06-25,+1%
2005-06-26 - 2005-07-02,-4%
2005-07-03 - 2005-07-09,-1%
2005-07-10 - 2005-07-16,-1%
2005-07-17 - 2005-07-23,-3%
2005-07-24 - 2005-07-30,-1%
2005-07-31 - 2005-08-06,-1%
2005-08-07 - 2005-08-13,+0%
2005-08-14 - 2005-08-20,-1%
2005-08-21 - 2005-08-27,+0%
2005-08-28 - 2005-09-03,-7%
2005-09-04 - 2005-09-10,-4%
2005-09-11 - 2005-09-17,+1%
2005-09-18 - 2005-09-24,-7%
2005-09-25 - 2005-10-01,+1%
2005-10-02 - 2005-10-08,-3%
2005-10-09 - 2005-10-15,+3%
2005-10-16 - 2005-10-22,+4%
2005-10-23 - 2005-10-29,+4%
2005-10-30 - 2005-11-05,-3%
2005-11-06 - 2005-11-12,+3%
2005-11-13 - 2005-11-19,+4%
2005-11-20 - 2005-11-26,+37%
2005-11-27 - 2005-12-03,+27%
2005-12-04 - 2005-12-10,+30%
2005-12-11 - 2005-12-17,+30%
2005-12-18 - 2005-12-24,+32%
2005-12-25 - 2005-12-31,+29%



Top searches
ebay,100
shoes,55
ipod,45
sony,35
xbox,35
cards,30
walmart,30
target,30
best buy,30
amazon,25
blue book,25
toys,20
psp,20
dresses,20
sears,20
jewelry,20
coupons,15
digital camera,15
flowers,15
boots,15



Rising searches
ipod nano,Breakout
xbox 360,Breakout
psp,+550%
ps3,+500%
playstation 3,+200%
apple ipod,+100%
ipod,+100%
apple,+60%
ipod mini,+60%
netflix,+50%



