Web Search interest
United States; 2006

Interest over time
Week,Beauty & Fitness
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-4%
2006-01-15 - 2006-01-21,-2%
2006-01-22 - 2006-01-28,-5%
2006-01-29 - 2006-02-04,-6%
2006-02-05 - 2006-02-11,-5%
2006-02-12 - 2006-02-18,-10%
2006-02-19 - 2006-02-25,-5%
2006-02-26 - 2006-03-04,-8%
2006-03-05 - 2006-03-11,-4%
2006-03-12 - 2006-03-18,-6%
2006-03-19 - 2006-03-25,-4%
2006-03-26 - 2006-04-01,-9%
2006-04-02 - 2006-04-08,-8%
2006-04-09 - 2006-04-15,-11%
2006-04-16 - 2006-04-22,-9%
2006-04-23 - 2006-04-29,-6%
2006-04-30 - 2006-05-06,-6%
2006-05-07 - 2006-05-13,-5%
2006-05-14 - 2006-05-20,-9%
2006-05-21 - 2006-05-27,-10%
2006-05-28 - 2006-06-03,-6%
2006-06-04 - 2006-06-10,-5%
2006-06-11 - 2006-06-17,-6%
2006-06-18 - 2006-06-24,-2%
2006-06-25 - 2006-07-01,-8%
2006-07-02 - 2006-07-08,-5%
2006-07-09 - 2006-07-15,-2%
2006-07-16 - 2006-07-22,-3%
2006-07-23 - 2006-07-29,+1%
2006-07-30 - 2006-08-05,-6%
2006-08-06 - 2006-08-12,-8%
2006-08-13 - 2006-08-19,-5%
2006-08-20 - 2006-08-26,-10%
2006-08-27 - 2006-09-02,-12%
2006-09-03 - 2006-09-09,-12%
2006-09-10 - 2006-09-16,-12%
2006-09-17 - 2006-09-23,-14%
2006-09-24 - 2006-09-30,-12%
2006-10-01 - 2006-10-07,-13%
2006-10-08 - 2006-10-14,-12%
2006-10-15 - 2006-10-21,-13%
2006-10-22 - 2006-10-28,-15%
2006-10-29 - 2006-11-04,-15%
2006-11-05 - 2006-11-11,-14%
2006-11-12 - 2006-11-18,-12%
2006-11-19 - 2006-11-25,-14%
2006-11-26 - 2006-12-02,-9%
2006-12-03 - 2006-12-09,-13%
2006-12-10 - 2006-12-16,-8%
2006-12-17 - 2006-12-23,+8%
2006-12-24 - 2006-12-30,+2%
2006-12-31 - 2007-01-06,+2%



Top searches
hair,100
fitness,40
tattoo,30
tattoos,25
hairstyles,20
yoga,20
diet,15
hair styles,15
models,15
fashion,15
model,15
exercise,15
makeup,10
weight loss,10
face,10
cincinnati,10
perfume,5
modeling,5
piercing,5
haircuts,5



Rising searches
katie rees,Breakout
miss nevada,Breakout
tara conner,Breakout
miss universe 2006,+2,650%
miami ink,+300%
hydroxycut,+90%
miss usa,+90%
arbonne,+80%
face,+50%
miss america,+50%



