Web Search interest
United States; 2007

Interest over time
Week,Games
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,+4%
2007-01-21 - 2007-01-27,+3%
2007-01-28 - 2007-02-03,+1%
2007-02-04 - 2007-02-10,+0%
2007-02-11 - 2007-02-17,+0%
2007-02-18 - 2007-02-24,+1%
2007-02-25 - 2007-03-03,-1%
2007-03-04 - 2007-03-10,+9%
2007-03-11 - 2007-03-17,-3%
2007-03-18 - 2007-03-24,+0%
2007-03-25 - 2007-03-31,-1%
2007-04-01 - 2007-04-07,+4%
2007-04-08 - 2007-04-14,+0%
2007-04-15 - 2007-04-21,-3%
2007-04-22 - 2007-04-28,+1%
2007-04-29 - 2007-05-05,+1%
2007-05-06 - 2007-05-12,-3%
2007-05-13 - 2007-05-19,+1%
2007-05-20 - 2007-05-26,+10%
2007-05-27 - 2007-06-02,+13%
2007-06-03 - 2007-06-09,+9%
2007-06-10 - 2007-06-16,+6%
2007-06-17 - 2007-06-23,+7%
2007-06-24 - 2007-06-30,+9%
2007-07-01 - 2007-07-07,+13%
2007-07-08 - 2007-07-14,+9%
2007-07-15 - 2007-07-21,+4%
2007-07-22 - 2007-07-28,+9%
2007-07-29 - 2007-08-04,+4%
2007-08-05 - 2007-08-11,+9%
2007-08-12 - 2007-08-18,+7%
2007-08-19 - 2007-08-25,+9%
2007-08-26 - 2007-09-01,+10%
2007-09-02 - 2007-09-08,+1%
2007-09-09 - 2007-09-15,-1%
2007-09-16 - 2007-09-22,-3%
2007-09-23 - 2007-09-29,+6%
2007-09-30 - 2007-10-06,-1%
2007-10-07 - 2007-10-13,+1%
2007-10-14 - 2007-10-20,+1%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+3%
2007-11-04 - 2007-11-10,+9%
2007-11-11 - 2007-11-17,+12%
2007-11-18 - 2007-11-24,+34%
2007-11-25 - 2007-12-01,+12%
2007-12-02 - 2007-12-08,+16%
2007-12-09 - 2007-12-15,+12%
2007-12-16 - 2007-12-22,+22%
2007-12-23 - 2007-12-29,+47%
2007-12-30 - 2008-01-05,+22%



Top searches
games,100
game,50
cheats,30
lottery,25
wow,20
xbox,20
wii,20
free games,20
games online,15
runescape,15
pokemon,15
halo,10
warcraft,10
xbox 360,10
psp,10
nintendo,10
mario,10
guitar hero,10
world of warcraft,10
addicting,10



Rising searches
guitar hero 3,Breakout
pokemon diamond,+800%
guitar hero,+400%
halo 3,+250%
wii,+100%
pokemon,+80%
addictinggames,+70%
halo,+70%
mega millions,+70%
addicting,+60%



