Web Search interest
United States; 2007

Interest over time
Week,People & Society
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-2%
2007-01-21 - 2007-01-27,+4%
2007-01-28 - 2007-02-03,+1%
2007-02-04 - 2007-02-10,+11%
2007-02-11 - 2007-02-17,+2%
2007-02-18 - 2007-02-24,+8%
2007-02-25 - 2007-03-03,+3%
2007-03-04 - 2007-03-10,+2%
2007-03-11 - 2007-03-17,+0%
2007-03-18 - 2007-03-24,+1%
2007-03-25 - 2007-03-31,+3%
2007-04-01 - 2007-04-07,+1%
2007-04-08 - 2007-04-14,+2%
2007-04-15 - 2007-04-21,+1%
2007-04-22 - 2007-04-28,+2%
2007-04-29 - 2007-05-05,+3%
2007-05-06 - 2007-05-12,+0%
2007-05-13 - 2007-05-19,+3%
2007-05-20 - 2007-05-26,-3%
2007-05-27 - 2007-06-02,+0%
2007-06-03 - 2007-06-09,-1%
2007-06-10 - 2007-06-16,-3%
2007-06-17 - 2007-06-23,-1%
2007-06-24 - 2007-06-30,-2%
2007-07-01 - 2007-07-07,-2%
2007-07-08 - 2007-07-14,+0%
2007-07-15 - 2007-07-21,+3%
2007-07-22 - 2007-07-28,+2%
2007-07-29 - 2007-08-04,-7%
2007-08-05 - 2007-08-11,-8%
2007-08-12 - 2007-08-18,-6%
2007-08-19 - 2007-08-25,-3%
2007-08-26 - 2007-09-01,-6%
2007-09-02 - 2007-09-08,-2%
2007-09-09 - 2007-09-15,+0%
2007-09-16 - 2007-09-22,+1%
2007-09-23 - 2007-09-29,+2%
2007-09-30 - 2007-10-06,-1%
2007-10-07 - 2007-10-13,+3%
2007-10-14 - 2007-10-20,+1%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+1%
2007-11-04 - 2007-11-10,+2%
2007-11-11 - 2007-11-17,+1%
2007-11-18 - 2007-11-24,-7%
2007-11-25 - 2007-12-01,+0%
2007-12-02 - 2007-12-08,-1%
2007-12-09 - 2007-12-15,-2%
2007-12-16 - 2007-12-22,-3%
2007-12-23 - 2007-12-29,-8%
2007-12-30 - 2008-01-05,-4%



Top searches
baby,100
girls,80
wedding,80
names,65
bible,65
pregnancy,55
hot,50
harry potter,40
games,35
girl,35
family,35
love,30
baby names,25
babies,25
social security,20
horoscope,20
jesus,15
babies r us,15
asian,15
india,15



Rising searches
wow armory,Breakout
amanda beard,+800%
tmz,+450%
the secret,+200%
anna nicole smith,+130%
anna nicole,+120%
harry potter,+100%
global warming,+70%
funbrain,+60%
disney games,+50%



