News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Food & Drink
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-21%
2008-01-20 - 2008-01-26,-21%
2008-01-27 - 2008-02-02,+7%
2008-02-03 - 2008-02-09,-21%
2008-02-10 - 2008-02-16,+21%
2008-02-17 - 2008-02-23,+14%
2008-02-24 - 2008-03-01,+21%
2008-03-02 - 2008-03-08,+50%
2008-03-09 - 2008-03-15,+14%
2008-03-16 - 2008-03-22,+36%
2008-03-23 - 2008-03-29,+14%
2008-03-30 - 2008-04-05,+50%
2008-04-06 - 2008-04-12,+93%
2008-04-13 - 2008-04-19,+93%
2008-04-20 - 2008-04-26,+79%
2008-04-27 - 2008-05-03,+14%
2008-05-04 - 2008-05-10,+43%
2008-05-11 - 2008-05-17,+14%
2008-05-18 - 2008-05-24,+7%
2008-05-25 - 2008-05-31,+100%
2008-06-01 - 2008-06-07,+21%
2008-06-08 - 2008-06-14,+93%
2008-06-15 - 2008-06-21,+29%
2008-06-22 - 2008-06-28,+50%
2008-06-29 - 2008-07-05,+93%
2008-07-06 - 2008-07-12,+57%
2008-07-13 - 2008-07-19,+71%
2008-07-20 - 2008-07-26,+64%
2008-07-27 - 2008-08-02,+71%
2008-08-03 - 2008-08-09,-14%
2008-08-10 - 2008-08-16,-21%
2008-08-17 - 2008-08-23,-21%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,-43%
2008-09-07 - 2008-09-13,-29%
2008-09-14 - 2008-09-20,-29%
2008-09-21 - 2008-09-27,+14%
2008-09-28 - 2008-10-04,-14%
2008-10-05 - 2008-10-11,-7%
2008-10-12 - 2008-10-18,+21%
2008-10-19 - 2008-10-25,+14%
2008-10-26 - 2008-11-01,+43%
2008-11-02 - 2008-11-08,+7%
2008-11-09 - 2008-11-15,+43%
2008-11-16 - 2008-11-22,+114%
2008-11-23 - 2008-11-29,+614%
2008-11-30 - 2008-12-06,+79%
2008-12-07 - 2008-12-13,+71%
2008-12-14 - 2008-12-20,+79%
2008-12-21 - 2008-12-27,+200%
2008-12-28 - 2009-01-03,+50%
2009-01-04 - 2009-01-10,+14%
2009-01-11 - 2009-01-17,+0%
2009-01-18 - 2009-01-24,+14%
2009-01-25 - 2009-01-31,+79%
2009-02-01 - 2009-02-07,+64%
2009-02-08 - 2009-02-14,+14%
2009-02-15 - 2009-02-21,+36%
2009-02-22 - 2009-02-28,+86%
2009-03-01 - 2009-03-07,+57%
2009-03-08 - 2009-03-14,+64%
2009-03-15 - 2009-03-21,+93%
2009-03-22 - 2009-03-28,+43%
2009-03-29 - 2009-04-04,+50%
2009-04-05 - 2009-04-11,+93%
2009-04-12 - 2009-04-18,+150%
2009-04-19 - 2009-04-25,+71%
2009-04-26 - 2009-05-02,+36%
2009-05-03 - 2009-05-09,+107%
2009-05-10 - 2009-05-16,+36%
2009-05-17 - 2009-05-23,+29%
2009-05-24 - 2009-05-30,+93%
2009-05-31 - 2009-06-06,+71%
2009-06-07 - 2009-06-13,+86%
2009-06-14 - 2009-06-20,+93%
2009-06-21 - 2009-06-27,+50%
2009-06-28 - 2009-07-04,+64%
2009-07-05 - 2009-07-11,+86%
2009-07-12 - 2009-07-18,+86%
2009-07-19 - 2009-07-25,+86%
2009-07-26 - 2009-08-01,+107%
2009-08-02 - 2009-08-08,+136%
2009-08-09 - 2009-08-15,+86%
2009-08-16 - 2009-08-22,+100%
2009-08-23 - 2009-08-29,+86%
2009-08-30 - 2009-09-05,+71%
2009-09-06 - 2009-09-12,+71%
2009-09-13 - 2009-09-19,+57%
2009-09-20 - 2009-09-26,+79%
2009-09-27 - 2009-10-03,+64%
2009-10-04 - 2009-10-10,+100%
2009-10-11 - 2009-10-17,+93%
2009-10-18 - 2009-10-24,+79%
2009-10-25 - 2009-10-31,+93%
2009-11-01 - 2009-11-07,+64%
2009-11-08 - 2009-11-14,+79%
2009-11-15 - 2009-11-21,+107%
2009-11-22 - 2009-11-28,+250%
2009-11-29 - 2009-12-05,+71%
2009-12-06 - 2009-12-12,+107%
2009-12-13 - 2009-12-19,+86%
2009-12-20 - 2009-12-26,+114%
2009-12-27 - 2010-01-02,+100%
2010-01-03 - 2010-01-09,+79%
2010-01-10 - 2010-01-16,+57%
2010-01-17 - 2010-01-23,+129%
2010-01-24 - 2010-01-30,+64%
2010-01-31 - 2010-02-06,+79%
2010-02-07 - 2010-02-13,+86%
2010-02-14 - 2010-02-20,+71%
2010-02-21 - 2010-02-27,+79%
2010-02-28 - 2010-03-06,+79%
2010-03-07 - 2010-03-13,+79%
2010-03-14 - 2010-03-20,+157%
2010-03-21 - 2010-03-27,+79%
2010-03-28 - 2010-04-03,+143%
2010-04-04 - 2010-04-10,+71%
2010-04-11 - 2010-04-17,+64%
2010-04-18 - 2010-04-24,+57%
2010-04-25 - 2010-05-01,+71%
2010-05-02 - 2010-05-08,+107%
2010-05-09 - 2010-05-15,+86%
2010-05-16 - 2010-05-22,+93%
2010-05-23 - 2010-05-29,+50%
2010-05-30 - 2010-06-05,+179%
2010-06-06 - 2010-06-12,+71%
2010-06-13 - 2010-06-19,+71%
2010-06-20 - 2010-06-26,+79%
2010-06-27 - 2010-07-03,+64%
2010-07-04 - 2010-07-10,+50%
2010-07-11 - 2010-07-17,+43%
2010-07-18 - 2010-07-24,+64%
2010-07-25 - 2010-07-31,+64%
2010-08-01 - 2010-08-07,+71%
2010-08-08 - 2010-08-14,+93%
2010-08-15 - 2010-08-21,+71%
2010-08-22 - 2010-08-28,+64%
2010-08-29 - 2010-09-04,+93%
2010-09-05 - 2010-09-11,+64%
2010-09-12 - 2010-09-18,+100%
2010-09-19 - 2010-09-25,+64%
2010-09-26 - 2010-10-02,+93%
2010-10-03 - 2010-10-09,+71%
2010-10-10 - 2010-10-16,+64%
2010-10-17 - 2010-10-23,+71%
2010-10-24 - 2010-10-30,+79%
2010-10-31 - 2010-11-06,+71%
2010-11-07 - 2010-11-13,+121%
2010-11-14 - 2010-11-20,+121%
2010-11-21 - 2010-11-27,+121%
2010-11-28 - 2010-12-04,+100%
2010-12-05 - 2010-12-11,+93%
2010-12-12 - 2010-12-18,+100%
2010-12-19 - 2010-12-25,+136%
2010-12-26 - 2011-01-01,+114%
2011-01-02 - 2011-01-08,+114%
2011-01-09 - 2011-01-15,+93%
2011-01-16 - 2011-01-22,+107%
2011-01-23 - 2011-01-29,+150%
2011-01-30 - 2011-02-05,+129%
2011-02-06 - 2011-02-12,+136%
2011-02-13 - 2011-02-19,+121%
2011-02-20 - 2011-02-26,+121%
2011-02-27 - 2011-03-05,+114%
2011-03-06 - 2011-03-12,+100%
2011-03-13 - 2011-03-19,+86%
2011-03-20 - 2011-03-26,+100%
