Image Search interest
United States; 2008

Interest over time
Week,Beauty & Fitness
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,+3%
2008-01-27 - 2008-02-02,+4%
2008-02-03 - 2008-02-09,+1%
2008-02-10 - 2008-02-16,-4%
2008-02-17 - 2008-02-23,-1%
2008-02-24 - 2008-03-01,+1%
2008-03-02 - 2008-03-08,+3%
2008-03-09 - 2008-03-15,+1%
2008-03-16 - 2008-03-22,+3%
2008-03-23 - 2008-03-29,+7%
2008-03-30 - 2008-04-05,+7%
2008-04-06 - 2008-04-12,+13%
2008-04-13 - 2008-04-19,+11%
2008-04-20 - 2008-04-26,+9%
2008-04-27 - 2008-05-03,+9%
2008-05-04 - 2008-05-10,+5%
2008-05-11 - 2008-05-17,+8%
2008-05-18 - 2008-05-24,+5%
2008-05-25 - 2008-05-31,+9%
2008-06-01 - 2008-06-07,+14%
2008-06-08 - 2008-06-14,+17%
2008-06-15 - 2008-06-21,+20%
2008-06-22 - 2008-06-28,+18%
2008-06-29 - 2008-07-05,+25%
2008-07-06 - 2008-07-12,+28%
2008-07-13 - 2008-07-19,+32%
2008-07-20 - 2008-07-26,+18%
2008-07-27 - 2008-08-02,+21%
2008-08-03 - 2008-08-09,+18%
2008-08-10 - 2008-08-16,+20%
2008-08-17 - 2008-08-23,+11%
2008-08-24 - 2008-08-30,+5%
2008-08-31 - 2008-09-06,+3%
2008-09-07 - 2008-09-13,-1%
2008-09-14 - 2008-09-20,+3%
2008-09-21 - 2008-09-27,+0%
2008-09-28 - 2008-10-04,+0%
2008-10-05 - 2008-10-11,-3%
2008-10-12 - 2008-10-18,-1%
2008-10-19 - 2008-10-25,-5%
2008-10-26 - 2008-11-01,-7%
2008-11-02 - 2008-11-08,-4%
2008-11-09 - 2008-11-15,-4%
2008-11-16 - 2008-11-22,+1%
2008-11-23 - 2008-11-29,+1%
2008-11-30 - 2008-12-06,-3%
2008-12-07 - 2008-12-13,-3%
2008-12-14 - 2008-12-20,+3%
2008-12-21 - 2008-12-27,+13%
2008-12-28 - 2009-01-03,+21%



Top searches
hair,100
tattoo,65
tattoos,60
hairstyles,35
hair styles,20
short hair,15
model,15
models,15
haircuts,10
star,10
tribal,10
bangs,10
preteen,10
body,10
cross,10
haircut,10
fashion,10
hair cuts,10
long hair,10
tatoos,10



Rising searches
prom hair,+150%
prom hairstyles,+150%
rihanna,+100%
marisa miller,+80%
emo hair,+60%
medium hairstyles,+60%
short hairstyles,+50%
star tattoos,+50%
updos,+50%
curly hair,+40%



