Image Search interest
United States; 2008

Interest over time
Week,Finance
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-1%
2008-01-20 - 2008-01-26,-3%
2008-01-27 - 2008-02-02,+3%
2008-02-03 - 2008-02-09,-3%
2008-02-10 - 2008-02-16,-7%
2008-02-17 - 2008-02-23,-8%
2008-02-24 - 2008-03-01,-4%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,-4%
2008-03-16 - 2008-03-22,+0%
2008-03-23 - 2008-03-29,+2%
2008-03-30 - 2008-04-05,+2%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+5%
2008-04-20 - 2008-04-26,+1%
2008-04-27 - 2008-05-03,+7%
2008-05-04 - 2008-05-10,+0%
2008-05-11 - 2008-05-17,+2%
2008-05-18 - 2008-05-24,+0%
2008-05-25 - 2008-05-31,-5%
2008-06-01 - 2008-06-07,-5%
2008-06-08 - 2008-06-14,+4%
2008-06-15 - 2008-06-21,-5%
2008-06-22 - 2008-06-28,-3%
2008-06-29 - 2008-07-05,-15%
2008-07-06 - 2008-07-12,-4%
2008-07-13 - 2008-07-19,-4%
2008-07-20 - 2008-07-26,-9%
2008-07-27 - 2008-08-02,-4%
2008-08-03 - 2008-08-09,-7%
2008-08-10 - 2008-08-16,-12%
2008-08-17 - 2008-08-23,-10%
2008-08-24 - 2008-08-30,-10%
2008-08-31 - 2008-09-06,-11%
2008-09-07 - 2008-09-13,-2%
2008-09-14 - 2008-09-20,+5%
2008-09-21 - 2008-09-27,+9%
2008-09-28 - 2008-10-04,+9%
2008-10-05 - 2008-10-11,+10%
2008-10-12 - 2008-10-18,+8%
2008-10-19 - 2008-10-25,+5%
2008-10-26 - 2008-11-01,+7%
2008-11-02 - 2008-11-08,+2%
2008-11-09 - 2008-11-15,+3%
2008-11-16 - 2008-11-22,+5%
2008-11-23 - 2008-11-29,-9%
2008-11-30 - 2008-12-06,+10%
2008-12-07 - 2008-12-13,+4%
2008-12-14 - 2008-12-20,-2%
2008-12-21 - 2008-12-27,-27%
2008-12-28 - 2009-01-03,-22%



Top searches
money,100
bank,55
card,55
credit,50
dollar,30
credit card,30
insurance,30
stock,25
gold,25
visa,15
check,15
currency,15
chase,15
american express,15
tax,15
dollar sign,10
cash,10
bank of america,10
euro,10
financial,10



Rising searches
gas prices,+170%
routing number,+170%
danica,+160%
foreclosure,+160%
cheque,+110%
credit report,+110%
hsbc,+60%
dolar,+50%
wamu,+50%
irs,+40%



