News Search interest
United States; 2008

Interest over time
Week,Finance
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+17%
2008-01-20 - 2008-01-26,+122%
2008-01-27 - 2008-02-02,+70%
2008-02-03 - 2008-02-09,-22%
2008-02-10 - 2008-02-16,+9%
2008-02-17 - 2008-02-23,-17%
2008-02-24 - 2008-03-01,+0%
2008-03-02 - 2008-03-08,+4%
2008-03-09 - 2008-03-15,+17%
2008-03-16 - 2008-03-22,+117%
2008-03-23 - 2008-03-29,+17%
2008-03-30 - 2008-04-05,+9%
2008-04-06 - 2008-04-12,-4%
2008-04-13 - 2008-04-19,+35%
2008-04-20 - 2008-04-26,+17%
2008-04-27 - 2008-05-03,+26%
2008-05-04 - 2008-05-10,-4%
2008-05-11 - 2008-05-17,-4%
2008-05-18 - 2008-05-24,-13%
2008-05-25 - 2008-05-31,-9%
2008-06-01 - 2008-06-07,+4%
2008-06-08 - 2008-06-14,+9%
2008-06-15 - 2008-06-21,+4%
2008-06-22 - 2008-06-28,+17%
2008-06-29 - 2008-07-05,+4%
2008-07-06 - 2008-07-12,+30%
2008-07-13 - 2008-07-19,+152%
2008-07-20 - 2008-07-26,+65%
2008-07-27 - 2008-08-02,+100%
2008-08-03 - 2008-08-09,+4%
2008-08-10 - 2008-08-16,-39%
2008-08-17 - 2008-08-23,-26%
2008-08-24 - 2008-08-30,-26%
2008-08-31 - 2008-09-06,-35%
2008-09-07 - 2008-09-13,+39%
2008-09-14 - 2008-09-20,+335%
2008-09-21 - 2008-09-27,+174%
2008-09-28 - 2008-10-04,+252%
2008-10-05 - 2008-10-11,+270%
2008-10-12 - 2008-10-18,+148%
2008-10-19 - 2008-10-25,+91%
2008-10-26 - 2008-11-01,+70%
2008-11-02 - 2008-11-08,-30%
2008-11-09 - 2008-11-15,+35%
2008-11-16 - 2008-11-22,+43%
2008-11-23 - 2008-11-29,+26%
2008-11-30 - 2008-12-06,+65%
2008-12-07 - 2008-12-13,+26%
2008-12-14 - 2008-12-20,+100%
2008-12-21 - 2008-12-27,+35%
2008-12-28 - 2009-01-03,+26%



Top searches
oil,100
stock,75
mortgage,70
oil prices,45
stock market,45
mortgage rates,40
oil price,35
wachovia,25
crude oil,25
tax rebate,20
gold,20
dollar,20
aig,20
stocks,15
interest rates,15
washington mutual,15
insurance,15
wamu,15
bank of america,10
oil barrel,10



Rising searches
tax rebate,Breakout
aig,+750%
wachovia,+300%
wamu,+300%
crude price,+250%
oil barrel,+250%
washington mutual,+180%
oil price,+140%
crude oil,+120%
mortgage rates,+90%



