Web Search interest
United States; 2008

Interest over time
Week,Food & Drink
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+1%
2008-01-20 - 2008-01-26,+3%
2008-01-27 - 2008-02-02,+3%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+9%
2008-02-17 - 2008-02-23,+1%
2008-02-24 - 2008-03-01,+1%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,+1%
2008-03-16 - 2008-03-22,+10%
2008-03-23 - 2008-03-29,-1%
2008-03-30 - 2008-04-05,-4%
2008-04-06 - 2008-04-12,+0%
2008-04-13 - 2008-04-19,+1%
2008-04-20 - 2008-04-26,+0%
2008-04-27 - 2008-05-03,+0%
2008-05-04 - 2008-05-10,+3%
2008-05-11 - 2008-05-17,+3%
2008-05-18 - 2008-05-24,-1%
2008-05-25 - 2008-05-31,+3%
2008-06-01 - 2008-06-07,+0%
2008-06-08 - 2008-06-14,+0%
2008-06-15 - 2008-06-21,+4%
2008-06-22 - 2008-06-28,+3%
2008-06-29 - 2008-07-05,+9%
2008-07-06 - 2008-07-12,+0%
2008-07-13 - 2008-07-19,+0%
2008-07-20 - 2008-07-26,+1%
2008-07-27 - 2008-08-02,+4%
2008-08-03 - 2008-08-09,+0%
2008-08-10 - 2008-08-16,-1%
2008-08-17 - 2008-08-23,-1%
2008-08-24 - 2008-08-30,-3%
2008-08-31 - 2008-09-06,-1%
2008-09-07 - 2008-09-13,-7%
2008-09-14 - 2008-09-20,-1%
2008-09-21 - 2008-09-27,-1%
2008-09-28 - 2008-10-04,-3%
2008-10-05 - 2008-10-11,-1%
2008-10-12 - 2008-10-18,+1%
2008-10-19 - 2008-10-25,+1%
2008-10-26 - 2008-11-01,+6%
2008-11-02 - 2008-11-08,-3%
2008-11-09 - 2008-11-15,+6%
2008-11-16 - 2008-11-22,+12%
2008-11-23 - 2008-11-29,+42%
2008-11-30 - 2008-12-06,+1%
2008-12-07 - 2008-12-13,+12%
2008-12-14 - 2008-12-20,+16%
2008-12-21 - 2008-12-27,+45%
2008-12-28 - 2009-01-03,+20%



Top searches
recipe,100
recipes,80
restaurant,55
food,55
pizza,50
restaurants,30
cake,25
wine,20
chocolate,20
cheese,20
food network,15
coffee,15
pizza hut,15
tea,10
cookies,10
dc,10
sushi,10
mexican,10
starbucks,10
com,10



Rising searches
powder game,+1,000%
yelp,+120%
dr pepper,+90%
nalgene,+80%
boys food,+50%
quinoa,+50%
all recipes,+40%
bobby flay,+40%
cupcakes,+40%
little caesars,+40%



