Image Search interest
United States; 2008

Interest over time
Week,Hobbies & Leisure
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+3%
2008-01-20 - 2008-01-26,-3%
2008-01-27 - 2008-02-02,+4%
2008-02-03 - 2008-02-09,+9%
2008-02-10 - 2008-02-16,+19%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+1%
2008-03-02 - 2008-03-08,+7%
2008-03-09 - 2008-03-15,+3%
2008-03-16 - 2008-03-22,+13%
2008-03-23 - 2008-03-29,+1%
2008-03-30 - 2008-04-05,+4%
2008-04-06 - 2008-04-12,+6%
2008-04-13 - 2008-04-19,+6%
2008-04-20 - 2008-04-26,+6%
2008-04-27 - 2008-05-03,+7%
2008-05-04 - 2008-05-10,+9%
2008-05-11 - 2008-05-17,+11%
2008-05-18 - 2008-05-24,+6%
2008-05-25 - 2008-05-31,+4%
2008-06-01 - 2008-06-07,+3%
2008-06-08 - 2008-06-14,+1%
2008-06-15 - 2008-06-21,-4%
2008-06-22 - 2008-06-28,-1%
2008-06-29 - 2008-07-05,+1%
2008-07-06 - 2008-07-12,+1%
2008-07-13 - 2008-07-19,-3%
2008-07-20 - 2008-07-26,-3%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,-1%
2008-08-10 - 2008-08-16,+4%
2008-08-17 - 2008-08-23,+3%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,-3%
2008-09-07 - 2008-09-13,+0%
2008-09-14 - 2008-09-20,+0%
2008-09-21 - 2008-09-27,+3%
2008-09-28 - 2008-10-04,+7%
2008-10-05 - 2008-10-11,+10%
2008-10-12 - 2008-10-18,+10%
2008-10-19 - 2008-10-25,+13%
2008-10-26 - 2008-11-01,+23%
2008-11-02 - 2008-11-08,+7%
2008-11-09 - 2008-11-15,+13%
2008-11-16 - 2008-11-22,+19%
2008-11-23 - 2008-11-29,+23%
2008-11-30 - 2008-12-06,+27%
2008-12-07 - 2008-12-13,+34%
2008-12-14 - 2008-12-20,+37%
2008-12-21 - 2008-12-27,+43%
2008-12-28 - 2009-01-03,+14%



Top searches
dog,100
christmas,75
puppies,65
dogs,60
cat,60
wedding,50
fish,50
puppy,45
horse,40
cats,35
birthday,35
halloween,30
horses,25
animals,25
tiger,25
santa,25
bird,20
dragon,20
happy birthday,20
lion,20



Rising searches
michael phelps,+950%
valentines day,+600%
valentines,+500%
easter,+350%
valentine,+300%
imagenes,+150%
emo,+60%
wedding,+60%
wedding dress,+60%
bike,+40%



