YouTube Search interest
United States; 2008

Interest over time
Week,Home & Garden
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-3%
2008-01-20 - 2008-01-26,-3%
2008-01-27 - 2008-02-02,-2%
2008-02-03 - 2008-02-09,-6%
2008-02-10 - 2008-02-16,-2%
2008-02-17 - 2008-02-23,-3%
2008-02-24 - 2008-03-01,-2%
2008-03-02 - 2008-03-08,-2%
2008-03-09 - 2008-03-15,+2%
2008-03-16 - 2008-03-22,-3%
2008-03-23 - 2008-03-29,-2%
2008-03-30 - 2008-04-05,+3%
2008-04-06 - 2008-04-12,-3%
2008-04-13 - 2008-04-19,+3%
2008-04-20 - 2008-04-26,+2%
2008-04-27 - 2008-05-03,+0%
2008-05-04 - 2008-05-10,+1%
2008-05-11 - 2008-05-17,+4%
2008-05-18 - 2008-05-24,+1%
2008-05-25 - 2008-05-31,+4%
2008-06-01 - 2008-06-07,-2%
2008-06-08 - 2008-06-14,-7%
2008-06-15 - 2008-06-21,-4%
2008-06-22 - 2008-06-28,-6%
2008-06-29 - 2008-07-05,-2%
2008-07-06 - 2008-07-12,-4%
2008-07-13 - 2008-07-19,-4%
2008-07-20 - 2008-07-26,-8%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,+1%
2008-08-10 - 2008-08-16,-2%
2008-08-17 - 2008-08-23,+0%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,+0%
2008-09-07 - 2008-09-13,-3%
2008-09-14 - 2008-09-20,-5%
2008-09-21 - 2008-09-27,-1%
2008-09-28 - 2008-10-04,-1%
2008-10-05 - 2008-10-11,-1%
2008-10-12 - 2008-10-18,-2%
2008-10-19 - 2008-10-25,+1%
2008-10-26 - 2008-11-01,-6%
2008-11-02 - 2008-11-08,-3%
2008-11-09 - 2008-11-15,-3%
2008-11-16 - 2008-11-22,+3%
2008-11-23 - 2008-11-29,+3%
2008-11-30 - 2008-12-06,+3%
2008-12-07 - 2008-12-13,+2%
2008-12-14 - 2008-12-20,+1%
2008-12-21 - 2008-12-27,-3%
2008-12-28 - 2009-01-03,+2%



Top searches
commercial,100
tool,45
bed,40
paint,40
pool,35
umbrella,35
how to build,35
pose,30
cookie jar,30
shower,30
lights,25
kirby,25
doors,20
microwave,20
saw,20
toilet,15
will it blend,15
garden,15
cribs,15
chicago,15



Rising searches
cookie jar,Breakout
shamwow,Breakout
pose,+1,100%
accents,+190%
the yes dance,+180%
how to build,+90%
garden,+80%
how to paint,+80%
kirby,+50%
lights,+40%



