News Search interest
United States; 2008

Interest over time
Week,Jobs & Education
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-25%
2008-01-20 - 2008-01-26,-46%
2008-01-27 - 2008-02-02,-32%
2008-02-03 - 2008-02-09,-23%
2008-02-10 - 2008-02-16,+70%
2008-02-17 - 2008-02-23,+9%
2008-02-24 - 2008-03-01,-25%
2008-03-02 - 2008-03-08,-14%
2008-03-09 - 2008-03-15,-21%
2008-03-16 - 2008-03-22,-19%
2008-03-23 - 2008-03-29,-12%
2008-03-30 - 2008-04-05,+0%
2008-04-06 - 2008-04-12,+75%
2008-04-13 - 2008-04-19,+5%
2008-04-20 - 2008-04-26,-35%
2008-04-27 - 2008-05-03,-46%
2008-05-04 - 2008-05-10,-4%
2008-05-11 - 2008-05-17,-49%
2008-05-18 - 2008-05-24,-42%
2008-05-25 - 2008-05-31,-39%
2008-06-01 - 2008-06-07,-40%
2008-06-08 - 2008-06-14,-47%
2008-06-15 - 2008-06-21,-46%
2008-06-22 - 2008-06-28,-47%
2008-06-29 - 2008-07-05,-53%
2008-07-06 - 2008-07-12,-49%
2008-07-13 - 2008-07-19,-58%
2008-07-20 - 2008-07-26,+9%
2008-07-27 - 2008-08-02,+54%
2008-08-03 - 2008-08-09,-54%
2008-08-10 - 2008-08-16,-70%
2008-08-17 - 2008-08-23,-44%
2008-08-24 - 2008-08-30,-35%
2008-08-31 - 2008-09-06,-16%
2008-09-07 - 2008-09-13,-35%
2008-09-14 - 2008-09-20,-37%
2008-09-21 - 2008-09-27,-44%
2008-09-28 - 2008-10-04,-51%
2008-10-05 - 2008-10-11,-37%
2008-10-12 - 2008-10-18,-39%
2008-10-19 - 2008-10-25,-21%
2008-10-26 - 2008-11-01,-19%
2008-11-02 - 2008-11-08,-51%
2008-11-09 - 2008-11-15,-7%
2008-11-16 - 2008-11-22,+25%
2008-11-23 - 2008-11-29,+12%
2008-11-30 - 2008-12-06,-2%
2008-12-07 - 2008-12-13,-19%
2008-12-14 - 2008-12-20,-28%
2008-12-21 - 2008-12-27,-26%
2008-12-28 - 2009-01-03,-30%



Top searches
school,100
high school,55
college,45
jobs,35
pausch,30
randy pausch,30
enem,25
notre dame,20
education,15
niu,15
primary,15
high school football,15
last lecture,15
illinois university,10
virginia tech,10
test,10
enem 2008,10
northern illinois university,10
the last lecture,10
job,10



Rising searches
enem 2008,Breakout
the last lecture,Breakout
primary,+2,300%
last lecture,+2,000%
niu,+1,750%
northern illinois university,+1,000%
masters,+900%
pausch,+600%
randy pausch,+600%
enem,+550%



