Web Search interest
United States; 2008

Interest over time
Week,Jobs & Education
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+1%
2008-01-20 - 2008-01-26,-11%
2008-01-27 - 2008-02-02,-3%
2008-02-03 - 2008-02-09,-8%
2008-02-10 - 2008-02-16,-5%
2008-02-17 - 2008-02-23,-7%
2008-02-24 - 2008-03-01,-7%
2008-03-02 - 2008-03-08,-7%
2008-03-09 - 2008-03-15,-6%
2008-03-16 - 2008-03-22,-12%
2008-03-23 - 2008-03-29,-9%
2008-03-30 - 2008-04-05,-6%
2008-04-06 - 2008-04-12,-4%
2008-04-13 - 2008-04-19,-6%
2008-04-20 - 2008-04-26,-7%
2008-04-27 - 2008-05-03,-9%
2008-05-04 - 2008-05-10,-8%
2008-05-11 - 2008-05-17,-9%
2008-05-18 - 2008-05-24,-13%
2008-05-25 - 2008-05-31,-15%
2008-06-01 - 2008-06-07,-11%
2008-06-08 - 2008-06-14,-18%
2008-06-15 - 2008-06-21,-18%
2008-06-22 - 2008-06-28,-21%
2008-06-29 - 2008-07-05,-29%
2008-07-06 - 2008-07-12,-21%
2008-07-13 - 2008-07-19,-21%
2008-07-20 - 2008-07-26,-19%
2008-07-27 - 2008-08-02,-18%
2008-08-03 - 2008-08-09,-15%
2008-08-10 - 2008-08-16,-11%
2008-08-17 - 2008-08-23,-5%
2008-08-24 - 2008-08-30,+5%
2008-08-31 - 2008-09-06,+5%
2008-09-07 - 2008-09-13,+3%
2008-09-14 - 2008-09-20,+2%
2008-09-21 - 2008-09-27,+2%
2008-09-28 - 2008-10-04,-3%
2008-10-05 - 2008-10-11,-2%
2008-10-12 - 2008-10-18,-2%
2008-10-19 - 2008-10-25,-5%
2008-10-26 - 2008-11-01,-1%
2008-11-02 - 2008-11-08,-7%
2008-11-09 - 2008-11-15,-2%
2008-11-16 - 2008-11-22,-2%
2008-11-23 - 2008-11-29,-21%
2008-11-30 - 2008-12-06,-6%
2008-12-07 - 2008-12-13,-9%
2008-12-14 - 2008-12-20,-13%
2008-12-21 - 2008-12-27,-41%
2008-12-28 - 2009-01-03,-32%



Top searches
college,100
jobs,65
job,25
test,15
resume,15
colleges,10
academy,5
employment,5
harvard,5
barnes and noble,5
lesson plans,5
cover letter,5
washington university,5
career builder,5
mba,5
ucla,5
stanford,5
job search,5
blackboard,5
yale,5



Rising searches
concursos,+900%
randy pausch,+750%
jobsearch,+350%
myyearbook,+350%
indeed,+170%
monster.com,+130%
yearbook,+70%
wanted,+60%
career builder,+50%
blackboard,+40%



