Image Search interest
United States; 2008

Interest over time
Week,Law & Government
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-3%
2008-01-20 - 2008-01-26,-7%
2008-01-27 - 2008-02-02,-5%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,+2%
2008-02-17 - 2008-02-23,+3%
2008-02-24 - 2008-03-01,+2%
2008-03-02 - 2008-03-08,+3%
2008-03-09 - 2008-03-15,-2%
2008-03-16 - 2008-03-22,-8%
2008-03-23 - 2008-03-29,-8%
2008-03-30 - 2008-04-05,-5%
2008-04-06 - 2008-04-12,-3%
2008-04-13 - 2008-04-19,-8%
2008-04-20 - 2008-04-26,-5%
2008-04-27 - 2008-05-03,+0%
2008-05-04 - 2008-05-10,-5%
2008-05-11 - 2008-05-17,-2%
2008-05-18 - 2008-05-24,-5%
2008-05-25 - 2008-05-31,-8%
2008-06-01 - 2008-06-07,-7%
2008-06-08 - 2008-06-14,-12%
2008-06-15 - 2008-06-21,-17%
2008-06-22 - 2008-06-28,-22%
2008-06-29 - 2008-07-05,-22%
2008-07-06 - 2008-07-12,-19%
2008-07-13 - 2008-07-19,-17%
2008-07-20 - 2008-07-26,-22%
2008-07-27 - 2008-08-02,-20%
2008-08-03 - 2008-08-09,-20%
2008-08-10 - 2008-08-16,-24%
2008-08-17 - 2008-08-23,-20%
2008-08-24 - 2008-08-30,-3%
2008-08-31 - 2008-09-06,-8%
2008-09-07 - 2008-09-13,-7%
2008-09-14 - 2008-09-20,-5%
2008-09-21 - 2008-09-27,-2%
2008-09-28 - 2008-10-04,+2%
2008-10-05 - 2008-10-11,+2%
2008-10-12 - 2008-10-18,+2%
2008-10-19 - 2008-10-25,+8%
2008-10-26 - 2008-11-01,+12%
2008-11-02 - 2008-11-08,+69%
2008-11-09 - 2008-11-15,+19%
2008-11-16 - 2008-11-22,+7%
2008-11-23 - 2008-11-29,-10%
2008-11-30 - 2008-12-06,+3%
2008-12-07 - 2008-12-13,+5%
2008-12-14 - 2008-12-20,-3%
2008-12-21 - 2008-12-27,-25%
2008-12-28 - 2009-01-03,-27%



Top searches
obama,100
police,35
army,35
barack,35
barack obama,30
fire,30
bush,30
navy,25
president,20
gang,20
marine,20
military,20
states,20
united states,15
bill,15
air force,15
court,15
marines,15
white house,15
clinton,10



Rising searches
john mccain,Breakout
mccain,Breakout
biden,+900%
obama,+900%
michelle obama,+850%
barrack obama,+700%
barack,+650%
barack obama,+650%
barak obama,+500%
joe biden,+500%



