Image Search interest
United States; 2008

Interest over time
Week,News
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-8%
2008-01-20 - 2008-01-26,-9%
2008-01-27 - 2008-02-02,-9%
2008-02-03 - 2008-02-09,-8%
2008-02-10 - 2008-02-16,-14%
2008-02-17 - 2008-02-23,-5%
2008-02-24 - 2008-03-01,-14%
2008-03-02 - 2008-03-08,-16%
2008-03-09 - 2008-03-15,-16%
2008-03-16 - 2008-03-22,-15%
2008-03-23 - 2008-03-29,-9%
2008-03-30 - 2008-04-05,-18%
2008-04-06 - 2008-04-12,-12%
2008-04-13 - 2008-04-19,-20%
2008-04-20 - 2008-04-26,-8%
2008-04-27 - 2008-05-03,+24%
2008-05-04 - 2008-05-10,-5%
2008-05-11 - 2008-05-17,-7%
2008-05-18 - 2008-05-24,-11%
2008-05-25 - 2008-05-31,-7%
2008-06-01 - 2008-06-07,-7%
2008-06-08 - 2008-06-14,+0%
2008-06-15 - 2008-06-21,+0%
2008-06-22 - 2008-06-28,+0%
2008-06-29 - 2008-07-05,-3%
2008-07-06 - 2008-07-12,+0%
2008-07-13 - 2008-07-19,+4%
2008-07-20 - 2008-07-26,+3%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,+8%
2008-08-10 - 2008-08-16,-5%
2008-08-17 - 2008-08-23,-9%
2008-08-24 - 2008-08-30,+18%
2008-08-31 - 2008-09-06,+35%
2008-09-07 - 2008-09-13,-3%
2008-09-14 - 2008-09-20,-8%
2008-09-21 - 2008-09-27,-9%
2008-09-28 - 2008-10-04,+0%
2008-10-05 - 2008-10-11,-3%
2008-10-12 - 2008-10-18,-5%
2008-10-19 - 2008-10-25,+0%
2008-10-26 - 2008-11-01,-3%
2008-11-02 - 2008-11-08,+26%
2008-11-09 - 2008-11-15,-14%
2008-11-16 - 2008-11-22,-20%
2008-11-23 - 2008-11-29,-12%
2008-11-30 - 2008-12-06,-19%
2008-12-07 - 2008-12-13,-19%
2008-12-14 - 2008-12-20,-16%
2008-12-21 - 2008-12-27,-7%
2008-12-28 - 2009-01-03,+1%



Top searches
miley,100
miley cyrus,90
palin,65
vanessa,50
spears,50
mccain,45
obama,45
kardashian,40
vanessa hudgens,40
sarah palin,40
britney,35
kim kardashian,35
lohan,35
britney spears,30
jessica alba,20
jessica simpson,20
paris hilton,20
lindsay lohan,20
zac efron,15
john mccain,15



Rising searches
miley cyrus vanity,Breakout
palin,Breakout
sarah palin,Breakout
mccain,+2,400%
obama,+1,650%
john mccain,+1,250%
barack obama,+1,100%
vanity fair,+950%
robert pattinson,+650%
audrina,+250%



