News Search interest
United States; 2008

Interest over time
Week,News
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-21%
2008-01-20 - 2008-01-26,-33%
2008-01-27 - 2008-02-02,-17%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,-31%
2008-02-17 - 2008-02-23,-42%
2008-02-24 - 2008-03-01,-42%
2008-03-02 - 2008-03-08,-29%
2008-03-09 - 2008-03-15,-29%
2008-03-16 - 2008-03-22,-52%
2008-03-23 - 2008-03-29,-56%
2008-03-30 - 2008-04-05,-60%
2008-04-06 - 2008-04-12,-54%
2008-04-13 - 2008-04-19,-56%
2008-04-20 - 2008-04-26,-37%
2008-04-27 - 2008-05-03,-10%
2008-05-04 - 2008-05-10,-44%
2008-05-11 - 2008-05-17,-56%
2008-05-18 - 2008-05-24,-58%
2008-05-25 - 2008-05-31,-60%
2008-06-01 - 2008-06-07,-52%
2008-06-08 - 2008-06-14,-52%
2008-06-15 - 2008-06-21,-52%
2008-06-22 - 2008-06-28,-65%
2008-06-29 - 2008-07-05,-67%
2008-07-06 - 2008-07-12,-54%
2008-07-13 - 2008-07-19,-52%
2008-07-20 - 2008-07-26,-52%
2008-07-27 - 2008-08-02,-56%
2008-08-03 - 2008-08-09,-52%
2008-08-10 - 2008-08-16,-75%
2008-08-17 - 2008-08-23,-60%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,+2%
2008-09-07 - 2008-09-13,-40%
2008-09-14 - 2008-09-20,-35%
2008-09-21 - 2008-09-27,-15%
2008-09-28 - 2008-10-04,+27%
2008-10-05 - 2008-10-11,+8%
2008-10-12 - 2008-10-18,-4%
2008-10-19 - 2008-10-25,-10%
2008-10-26 - 2008-11-01,-17%
2008-11-02 - 2008-11-08,+108%
2008-11-09 - 2008-11-15,-40%
2008-11-16 - 2008-11-22,-48%
2008-11-23 - 2008-11-29,-60%
2008-11-30 - 2008-12-06,-50%
2008-12-07 - 2008-12-13,-56%
2008-12-14 - 2008-12-20,-44%
2008-12-21 - 2008-12-27,-58%
2008-12-28 - 2009-01-03,-65%



Top searches
palin,100
obama,95
mccain,70
news,70
election,65
polls,60
sarah palin,50
debate,45
miley cyrus,40
weather,30
poll,25
election results,25
spears,25
britney,25
britney spears,20
election 2008,20
prop 8,20
presidential debate,20
vote,15
stimulus,15



Rising searches
palin,Breakout
prop 8,Breakout
sarah palin,Breakout
election 2008,+2,000%
mccain,+1,700%
vote,+1,300%
obama,+1,200%
polls,+500%
presidential debate,+500%
election,+450%



