Google Shopping interest
United States; 2008

Interest over time
Week,People & Society
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+1%
2008-01-20 - 2008-01-26,-1%
2008-01-27 - 2008-02-02,-3%
2008-02-03 - 2008-02-09,-1%
2008-02-10 - 2008-02-16,-3%
2008-02-17 - 2008-02-23,-3%
2008-02-24 - 2008-03-01,+0%
2008-03-02 - 2008-03-08,-1%
2008-03-09 - 2008-03-15,+0%
2008-03-16 - 2008-03-22,-6%
2008-03-23 - 2008-03-29,-6%
2008-03-30 - 2008-04-05,+1%
2008-04-06 - 2008-04-12,-1%
2008-04-13 - 2008-04-19,-1%
2008-04-20 - 2008-04-26,+0%
2008-04-27 - 2008-05-03,-2%
2008-05-04 - 2008-05-10,-6%
2008-05-11 - 2008-05-17,-6%
2008-05-18 - 2008-05-24,-5%
2008-05-25 - 2008-05-31,-6%
2008-06-01 - 2008-06-07,-7%
2008-06-08 - 2008-06-14,-10%
2008-06-15 - 2008-06-21,-12%
2008-06-22 - 2008-06-28,-15%
2008-06-29 - 2008-07-05,-14%
2008-07-06 - 2008-07-12,-14%
2008-07-13 - 2008-07-19,-12%
2008-07-20 - 2008-07-26,-14%
2008-07-27 - 2008-08-02,-15%
2008-08-03 - 2008-08-09,-9%
2008-08-10 - 2008-08-16,-14%
2008-08-17 - 2008-08-23,-12%
2008-08-24 - 2008-08-30,-4%
2008-08-31 - 2008-09-06,-10%
2008-09-07 - 2008-09-13,-11%
2008-09-14 - 2008-09-20,-14%
2008-09-21 - 2008-09-27,-15%
2008-09-28 - 2008-10-04,-13%
2008-10-05 - 2008-10-11,-13%
2008-10-12 - 2008-10-18,-15%
2008-10-19 - 2008-10-25,-20%
2008-10-26 - 2008-11-01,-22%
2008-11-02 - 2008-11-08,-18%
2008-11-09 - 2008-11-15,-24%
2008-11-16 - 2008-11-22,-25%
2008-11-23 - 2008-11-29,-34%
2008-11-30 - 2008-12-06,-27%
2008-12-07 - 2008-12-13,-26%
2008-12-14 - 2008-12-20,-27%
2008-12-21 - 2008-12-27,-37%
2008-12-28 - 2009-01-03,-30%



Top searches
baby,100
wedding,75
books,70
stroller,45
bible,30
graco,25
car seat,20
bracelet,10
diapers,10
wedding dress,10
dresses,10
strollers,10
wedding invitations,10
girls,10
harry potter,10
double stroller,10
high chair,10
gerber,10
kids,5
maternity,5



Rising searches
dresses,+300%
wedding dresses,+250%
wedding favors,+180%
wedding bands,+140%
wedding dress,+130%
wedding,+100%
diapers,+90%
wedding invitations,+70%
diaper bags,+60%
books,+40%



