News Search interest
United States; 2008

Interest over time
Week,Real Estate
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+22%
2008-01-20 - 2008-01-26,+20%
2008-01-27 - 2008-02-02,+54%
2008-02-03 - 2008-02-09,-24%
2008-02-10 - 2008-02-16,-7%
2008-02-17 - 2008-02-23,-12%
2008-02-24 - 2008-03-01,+24%
2008-03-02 - 2008-03-08,+2%
2008-03-09 - 2008-03-15,+0%
2008-03-16 - 2008-03-22,-2%
2008-03-23 - 2008-03-29,+44%
2008-03-30 - 2008-04-05,+20%
2008-04-06 - 2008-04-12,+144%
2008-04-13 - 2008-04-19,+32%
2008-04-20 - 2008-04-26,+7%
2008-04-27 - 2008-05-03,-15%
2008-05-04 - 2008-05-10,-12%
2008-05-11 - 2008-05-17,+15%
2008-05-18 - 2008-05-24,+15%
2008-05-25 - 2008-05-31,+37%
2008-06-01 - 2008-06-07,+15%
2008-06-08 - 2008-06-14,+0%
2008-06-15 - 2008-06-21,+5%
2008-06-22 - 2008-06-28,+41%
2008-06-29 - 2008-07-05,+7%
2008-07-06 - 2008-07-12,+5%
2008-07-13 - 2008-07-19,+12%
2008-07-20 - 2008-07-26,+46%
2008-07-27 - 2008-08-02,+93%
2008-08-03 - 2008-08-09,-10%
2008-08-10 - 2008-08-16,-39%
2008-08-17 - 2008-08-23,+12%
2008-08-24 - 2008-08-30,-2%
2008-08-31 - 2008-09-06,-24%
2008-09-07 - 2008-09-13,-17%
2008-09-14 - 2008-09-20,+12%
2008-09-21 - 2008-09-27,-7%
2008-09-28 - 2008-10-04,+2%
2008-10-05 - 2008-10-11,+10%
2008-10-12 - 2008-10-18,-12%
2008-10-19 - 2008-10-25,+12%
2008-10-26 - 2008-11-01,+7%
2008-11-02 - 2008-11-08,-44%
2008-11-09 - 2008-11-15,+10%
2008-11-16 - 2008-11-22,+32%
2008-11-23 - 2008-11-29,+24%
2008-11-30 - 2008-12-06,+7%
2008-12-07 - 2008-12-13,-7%
2008-12-14 - 2008-12-20,+5%
2008-12-21 - 2008-12-27,+24%
2008-12-28 - 2009-01-03,+29%



Top searches
real estate,100
florida,75
housing,75
home,50
homes,40
house,35
foreclosures,30
knight frank,30
housing market,20
lindsay,20
rent,20
victoria lindsay,20
houses,15
mls,15
housing bill,15
apartments,10
foreclosed homes,10
housing prices,10
home price,10
orlando,10



Rising searches
24 redemption,Breakout
florida polls,Breakout
foreclosed homes,Breakout
housing bill,Breakout
victoria lindsay,Breakout
lindsay,+1,000%
knight frank,+180%
home values,+120%
rent,+120%
24,+110%



