Image Search interest
United States; 2008

Interest over time
Week,Sports
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+2%
2008-01-20 - 2008-01-26,+6%
2008-01-27 - 2008-02-02,+5%
2008-02-03 - 2008-02-09,+17%
2008-02-10 - 2008-02-16,-5%
2008-02-17 - 2008-02-23,-3%
2008-02-24 - 2008-03-01,-5%
2008-03-02 - 2008-03-08,-3%
2008-03-09 - 2008-03-15,-9%
2008-03-16 - 2008-03-22,-9%
2008-03-23 - 2008-03-29,-9%
2008-03-30 - 2008-04-05,-5%
2008-04-06 - 2008-04-12,-2%
2008-04-13 - 2008-04-19,-8%
2008-04-20 - 2008-04-26,-8%
2008-04-27 - 2008-05-03,-6%
2008-05-04 - 2008-05-10,-11%
2008-05-11 - 2008-05-17,-9%
2008-05-18 - 2008-05-24,-9%
2008-05-25 - 2008-05-31,-6%
2008-06-01 - 2008-06-07,-2%
2008-06-08 - 2008-06-14,-8%
2008-06-15 - 2008-06-21,-5%
2008-06-22 - 2008-06-28,-8%
2008-06-29 - 2008-07-05,-11%
2008-07-06 - 2008-07-12,-11%
2008-07-13 - 2008-07-19,-14%
2008-07-20 - 2008-07-26,-15%
2008-07-27 - 2008-08-02,-12%
2008-08-03 - 2008-08-09,+6%
2008-08-10 - 2008-08-16,+52%
2008-08-17 - 2008-08-23,+39%
2008-08-24 - 2008-08-30,+14%
2008-08-31 - 2008-09-06,+0%
2008-09-07 - 2008-09-13,-2%
2008-09-14 - 2008-09-20,-5%
2008-09-21 - 2008-09-27,-5%
2008-09-28 - 2008-10-04,-5%
2008-10-05 - 2008-10-11,-8%
2008-10-12 - 2008-10-18,-11%
2008-10-19 - 2008-10-25,-14%
2008-10-26 - 2008-11-01,-12%
2008-11-02 - 2008-11-08,-12%
2008-11-09 - 2008-11-15,-11%
2008-11-16 - 2008-11-22,-12%
2008-11-23 - 2008-11-29,-14%
2008-11-30 - 2008-12-06,-12%
2008-12-07 - 2008-12-13,-9%
2008-12-14 - 2008-12-20,-11%
2008-12-21 - 2008-12-27,-11%
2008-12-28 - 2009-01-03,-12%



Top searches
football,100
basketball,70
soccer,60
baseball,50
wwe,50
jordan,35
golf,25
hockey,25
bike,25
sports,25
volleyball,25
olympics,20
kobe,20
phelps,20
giants,20
skate,20
nfl,20
ronaldo,20
maria,20
nba,20



Rising searches
shawn johnson,+1,900%
michael phelps,+1,050%
phelps,+1,000%
olympics,+350%
giants,+110%
lakers,+100%
celtics,+90%
kobe,+70%
maria,+70%
kobe bryant,+60%



