Web Search interest
United States; 2008

Interest over time
Week,Travel
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+2%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,-2%
2008-02-03 - 2008-02-09,-1%
2008-02-10 - 2008-02-16,-1%
2008-02-17 - 2008-02-23,+1%
2008-02-24 - 2008-03-01,+2%
2008-03-02 - 2008-03-08,+5%
2008-03-09 - 2008-03-15,+8%
2008-03-16 - 2008-03-22,+8%
2008-03-23 - 2008-03-29,+5%
2008-03-30 - 2008-04-05,+4%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+0%
2008-04-20 - 2008-04-26,+1%
2008-04-27 - 2008-05-03,-1%
2008-05-04 - 2008-05-10,+0%
2008-05-11 - 2008-05-17,+6%
2008-05-18 - 2008-05-24,+10%
2008-05-25 - 2008-05-31,+11%
2008-06-01 - 2008-06-07,+10%
2008-06-08 - 2008-06-14,+12%
2008-06-15 - 2008-06-21,+19%
2008-06-22 - 2008-06-28,+17%
2008-06-29 - 2008-07-05,+20%
2008-07-06 - 2008-07-12,+17%
2008-07-13 - 2008-07-19,+13%
2008-07-20 - 2008-07-26,+14%
2008-07-27 - 2008-08-02,+12%
2008-08-03 - 2008-08-09,+11%
2008-08-10 - 2008-08-16,+1%
2008-08-17 - 2008-08-23,+2%
2008-08-24 - 2008-08-30,+0%
2008-08-31 - 2008-09-06,-7%
2008-09-07 - 2008-09-13,-11%
2008-09-14 - 2008-09-20,-12%
2008-09-21 - 2008-09-27,-12%
2008-09-28 - 2008-10-04,-14%
2008-10-05 - 2008-10-11,-12%
2008-10-12 - 2008-10-18,-14%
2008-10-19 - 2008-10-25,-18%
2008-10-26 - 2008-11-01,-20%
2008-11-02 - 2008-11-08,-23%
2008-11-09 - 2008-11-15,-18%
2008-11-16 - 2008-11-22,-19%
2008-11-23 - 2008-11-29,-23%
2008-11-30 - 2008-12-06,-22%
2008-12-07 - 2008-12-13,-22%
2008-12-14 - 2008-12-20,-17%
2008-12-21 - 2008-12-27,-6%
2008-12-28 - 2009-01-03,-5%



Top searches
airlines,100
hotel,70
hotels,55
beach,40
southwest,35
las vegas,30
travel,30
southwest airlines,25
flights,25
car rental,20
airline,20
cruise,20
united,20
delta,20
disney,20
expedia,15
american airlines,15
marriott,15
train,15
travelocity,15



Rising searches
tam,+110%
virgin america,+110%
flight status,+90%
allegiant air,+70%
google maps,+60%
allegiant,+50%
amtrak schedule,+50%
kayak,+50%
dubai,+40%
mexicana,+40%



