YouTube Search interest
United States; 2009

Interest over time
Week,Beauty & Fitness
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-7%
2009-01-18 - 2009-01-24,-2%
2009-01-25 - 2009-01-31,-2%
2009-02-01 - 2009-02-07,-11%
2009-02-08 - 2009-02-14,-10%
2009-02-15 - 2009-02-21,-7%
2009-02-22 - 2009-02-28,-8%
2009-03-01 - 2009-03-07,-6%
2009-03-08 - 2009-03-14,-4%
2009-03-15 - 2009-03-21,-4%
2009-03-22 - 2009-03-28,-6%
2009-03-29 - 2009-04-04,-4%
2009-04-05 - 2009-04-11,-7%
2009-04-12 - 2009-04-18,-6%
2009-04-19 - 2009-04-25,+7%
2009-04-26 - 2009-05-02,+0%
2009-05-03 - 2009-05-09,-1%
2009-05-10 - 2009-05-16,+0%
2009-05-17 - 2009-05-23,-1%
2009-05-24 - 2009-05-30,-4%
2009-05-31 - 2009-06-06,-4%
2009-06-07 - 2009-06-13,+1%
2009-06-14 - 2009-06-20,+3%
2009-06-21 - 2009-06-27,-6%
2009-06-28 - 2009-07-04,-9%
2009-07-05 - 2009-07-11,-7%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,-3%
2009-07-26 - 2009-08-01,+0%
2009-08-02 - 2009-08-08,+3%
2009-08-09 - 2009-08-15,+2%
2009-08-16 - 2009-08-22,+1%
2009-08-23 - 2009-08-29,+11%
2009-08-30 - 2009-09-05,-1%
2009-09-06 - 2009-09-12,+1%
2009-09-13 - 2009-09-19,-4%
2009-09-20 - 2009-09-26,+2%
2009-09-27 - 2009-10-03,+3%
2009-10-04 - 2009-10-10,+0%
2009-10-11 - 2009-10-17,+1%
2009-10-18 - 2009-10-24,+2%
2009-10-25 - 2009-10-31,+10%
2009-11-01 - 2009-11-07,-3%
2009-11-08 - 2009-11-14,-1%
2009-11-15 - 2009-11-21,-1%
2009-11-22 - 2009-11-28,-4%
2009-11-29 - 2009-12-05,+1%
2009-12-06 - 2009-12-12,-2%
2009-12-13 - 2009-12-19,-3%
2009-12-20 - 2009-12-26,-8%
2009-12-27 - 2010-01-02,+3%



Top searches
hair,100
makeup,50
workout,40
wrong,25
make up,20
abs,20
haircut,20
hairstyles,15
tattoo,15
piercing,15
muscle,15
yoga,10
makeup tutorial,10
p90x,10
bodybuilding,10
unforgivable,10
casting crowns,10
massage,10
new haircut,10
fashion,10



Rising searches
hair tutorial,+250%
makeup tutorial,+250%
natural hair,+160%
weave,+130%
p90x,+120%
eyeshadow,+110%
eye makeup,+80%
hairstyles,+80%
makeup,+80%
long hair,+70%



