Web Search interest
United States; 2009

Interest over time
Week,Business & Industrial
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+1%
2009-01-18 - 2009-01-24,+1%
2009-01-25 - 2009-01-31,+3%
2009-02-01 - 2009-02-07,+1%
2009-02-08 - 2009-02-14,+8%
2009-02-15 - 2009-02-21,+3%
2009-02-22 - 2009-02-28,+6%
2009-03-01 - 2009-03-07,+4%
2009-03-08 - 2009-03-14,+8%
2009-03-15 - 2009-03-21,+3%
2009-03-22 - 2009-03-28,+3%
2009-03-29 - 2009-04-04,+4%
2009-04-05 - 2009-04-11,+0%
2009-04-12 - 2009-04-18,+4%
2009-04-19 - 2009-04-25,+4%
2009-04-26 - 2009-05-02,+0%
2009-05-03 - 2009-05-09,+1%
2009-05-10 - 2009-05-16,+2%
2009-05-17 - 2009-05-23,-1%
2009-05-24 - 2009-05-30,-4%
2009-05-31 - 2009-06-06,+0%
2009-06-07 - 2009-06-13,+0%
2009-06-14 - 2009-06-20,+0%
2009-06-21 - 2009-06-27,-2%
2009-06-28 - 2009-07-04,-6%
2009-07-05 - 2009-07-11,-4%
2009-07-12 - 2009-07-18,-1%
2009-07-19 - 2009-07-25,+2%
2009-07-26 - 2009-08-01,+0%
2009-08-02 - 2009-08-08,-2%
2009-08-09 - 2009-08-15,-3%
2009-08-16 - 2009-08-22,-2%
2009-08-23 - 2009-08-29,+1%
2009-08-30 - 2009-09-05,-4%
2009-09-06 - 2009-09-12,-5%
2009-09-13 - 2009-09-19,-2%
2009-09-20 - 2009-09-26,+1%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,+0%
2009-10-11 - 2009-10-17,-1%
2009-10-18 - 2009-10-24,+0%
2009-10-25 - 2009-10-31,-2%
2009-11-01 - 2009-11-07,-2%
2009-11-08 - 2009-11-14,-5%
2009-11-15 - 2009-11-21,-6%
2009-11-22 - 2009-11-28,-15%
2009-11-29 - 2009-12-05,-4%
2009-12-06 - 2009-12-12,-5%
2009-12-13 - 2009-12-19,-9%
2009-12-20 - 2009-12-26,-20%
2009-12-27 - 2010-01-02,-19%



Top searches
ups,100
usps,80
fedex,70
google,50
paypal,35
ups tracking,30
staples,30
sql,30
fabric,30
post office,30
office depot,25
space,25
dow,25
yahoo finance,25
mypay,20
fedex tracking,20
oracle,20
puerto rico,20
us airways,20
postal service,20



Rising searches
erin andrews,+1,050%
correios,+130%
fa,+130%
fedex locations,+120%
stimulus package,+90%
air france,+80%
fedex tracking,+80%
usps tracking,+50%
moon,+40%



