Image Search interest
United States; 2009

Interest over time
Week,Games
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-6%
2009-01-18 - 2009-01-24,-3%
2009-01-25 - 2009-01-31,-2%
2009-02-01 - 2009-02-07,-7%
2009-02-08 - 2009-02-14,-7%
2009-02-15 - 2009-02-21,-3%
2009-02-22 - 2009-02-28,-2%
2009-03-01 - 2009-03-07,+0%
2009-03-08 - 2009-03-14,-2%
2009-03-15 - 2009-03-21,-2%
2009-03-22 - 2009-03-28,-5%
2009-03-29 - 2009-04-04,-5%
2009-04-05 - 2009-04-11,-2%
2009-04-12 - 2009-04-18,-6%
2009-04-19 - 2009-04-25,-7%
2009-04-26 - 2009-05-02,-6%
2009-05-03 - 2009-05-09,-8%
2009-05-10 - 2009-05-16,-8%
2009-05-17 - 2009-05-23,-5%
2009-05-24 - 2009-05-30,-1%
2009-05-31 - 2009-06-06,+1%
2009-06-07 - 2009-06-13,-1%
2009-06-14 - 2009-06-20,+5%
2009-06-21 - 2009-06-27,-1%
2009-06-28 - 2009-07-04,+0%
2009-07-05 - 2009-07-11,+0%
2009-07-12 - 2009-07-18,+6%
2009-07-19 - 2009-07-25,+2%
2009-07-26 - 2009-08-01,+3%
2009-08-02 - 2009-08-08,+5%
2009-08-09 - 2009-08-15,+5%
2009-08-16 - 2009-08-22,+6%
2009-08-23 - 2009-08-29,+0%
2009-08-30 - 2009-09-05,-2%
2009-09-06 - 2009-09-12,-2%
2009-09-13 - 2009-09-19,-6%
2009-09-20 - 2009-09-26,-5%
2009-09-27 - 2009-10-03,-3%
2009-10-04 - 2009-10-10,-6%
2009-10-11 - 2009-10-17,-3%
2009-10-18 - 2009-10-24,-3%
2009-10-25 - 2009-10-31,-6%
2009-11-01 - 2009-11-07,-2%
2009-11-08 - 2009-11-14,+1%
2009-11-15 - 2009-11-21,-5%
2009-11-22 - 2009-11-28,+3%
2009-11-29 - 2009-12-05,-6%
2009-12-06 - 2009-12-12,-3%
2009-12-13 - 2009-12-19,+16%
2009-12-20 - 2009-12-26,+16%
2009-12-27 - 2010-01-02,+12%



Top searches
pokemon,100
halo,90
coloring pages,85
mario,80
games,75
xbox,65
world,60
sonic,50
psp,50
halo 3,45
wii,45
xbox 360,45
call of duty,40
dragon,40
ps3,35
wow,35
final fantasy,35
nintendo,35
modern warfare 2,30
resident evil,30



Rising searches
modern warfare 2,Breakout
halo odst,+1,850%
odst,+1,300%
dsi,+650%
left 4 dead,+350%
resident evil 5,+250%
dibujos,+140%
juegos,+120%
fallout,+80%
fallout 3,+80%



