YouTube Search interest
United States; 2009

Interest over time
Week,Hobbies & Leisure
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-5%
2009-01-18 - 2009-01-24,-7%
2009-01-25 - 2009-01-31,-3%
2009-02-01 - 2009-02-07,-7%
2009-02-08 - 2009-02-14,+0%
2009-02-15 - 2009-02-21,+3%
2009-02-22 - 2009-02-28,+3%
2009-03-01 - 2009-03-07,+3%
2009-03-08 - 2009-03-14,+8%
2009-03-15 - 2009-03-21,+3%
2009-03-22 - 2009-03-28,+3%
2009-03-29 - 2009-04-04,+5%
2009-04-05 - 2009-04-11,+3%
2009-04-12 - 2009-04-18,+2%
2009-04-19 - 2009-04-25,+0%
2009-04-26 - 2009-05-02,+5%
2009-05-03 - 2009-05-09,+2%
2009-05-10 - 2009-05-16,+3%
2009-05-17 - 2009-05-23,+3%
2009-05-24 - 2009-05-30,+2%
2009-05-31 - 2009-06-06,+5%
2009-06-07 - 2009-06-13,+7%
2009-06-14 - 2009-06-20,+5%
2009-06-21 - 2009-06-27,-3%
2009-06-28 - 2009-07-04,-5%
2009-07-05 - 2009-07-11,-2%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,+15%
2009-07-26 - 2009-08-01,+25%
2009-08-02 - 2009-08-08,+13%
2009-08-09 - 2009-08-15,+5%
2009-08-16 - 2009-08-22,+5%
2009-08-23 - 2009-08-29,+5%
2009-08-30 - 2009-09-05,+2%
2009-09-06 - 2009-09-12,+5%
2009-09-13 - 2009-09-19,-8%
2009-09-20 - 2009-09-26,-3%
2009-09-27 - 2009-10-03,+2%
2009-10-04 - 2009-10-10,+7%
2009-10-11 - 2009-10-17,+5%
2009-10-18 - 2009-10-24,+2%
2009-10-25 - 2009-10-31,+5%
2009-11-01 - 2009-11-07,+0%
2009-11-08 - 2009-11-14,+3%
2009-11-15 - 2009-11-21,+8%
2009-11-22 - 2009-11-28,+16%
2009-11-29 - 2009-12-05,+31%
2009-12-06 - 2009-12-12,+39%
2009-12-13 - 2009-12-19,+44%
2009-12-20 - 2009-12-26,+64%
2009-12-27 - 2010-01-02,+21%



Top searches
christmas,100
dog,100
wedding,75
cat,65
on a boat,55
funny,45
pitbull,40
dogs,40
cats,35
airsoft,35
hunting,35
lion,35
fishing,35
puppies,30
wedding dance,30
paintball,30
scary,25
horse,25
kittens,25
fred,25



Rising searches
hotel room pitbull,Breakout
on a boat,Breakout
wedding entrance,+3,100%
natal,+800%
wale,+750%
wedding dance,+180%
birthday song,+110%
fred goes swimming,+110%
kittens,+110%
pitbull,+110%



