YouTube Search interest
United States; 2009

Interest over time
Week,Law & Government
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+5%
2009-01-18 - 2009-01-24,+69%
2009-01-25 - 2009-01-31,+22%
2009-02-01 - 2009-02-07,+8%
2009-02-08 - 2009-02-14,+5%
2009-02-15 - 2009-02-21,-3%
2009-02-22 - 2009-02-28,+8%
2009-03-01 - 2009-03-07,-2%
2009-03-08 - 2009-03-14,-3%
2009-03-15 - 2009-03-21,+0%
2009-03-22 - 2009-03-28,+0%
2009-03-29 - 2009-04-04,+3%
2009-04-05 - 2009-04-11,-8%
2009-04-12 - 2009-04-18,-8%
2009-04-19 - 2009-04-25,-3%
2009-04-26 - 2009-05-02,-3%
2009-05-03 - 2009-05-09,-10%
2009-05-10 - 2009-05-16,-5%
2009-05-17 - 2009-05-23,-7%
2009-05-24 - 2009-05-30,-12%
2009-05-31 - 2009-06-06,-10%
2009-06-07 - 2009-06-13,-10%
2009-06-14 - 2009-06-20,-5%
2009-06-21 - 2009-06-27,-15%
2009-06-28 - 2009-07-04,-15%
2009-07-05 - 2009-07-11,-17%
2009-07-12 - 2009-07-18,-8%
2009-07-19 - 2009-07-25,-12%
2009-07-26 - 2009-08-01,-17%
2009-08-02 - 2009-08-08,-8%
2009-08-09 - 2009-08-15,-5%
2009-08-16 - 2009-08-22,-12%
2009-08-23 - 2009-08-29,-10%
2009-08-30 - 2009-09-05,-8%
2009-09-06 - 2009-09-12,+14%
2009-09-13 - 2009-09-19,-5%
2009-09-20 - 2009-09-26,+3%
2009-09-27 - 2009-10-03,-5%
2009-10-04 - 2009-10-10,-10%
2009-10-11 - 2009-10-17,-10%
2009-10-18 - 2009-10-24,-12%
2009-10-25 - 2009-10-31,-12%
2009-11-01 - 2009-11-07,-14%
2009-11-08 - 2009-11-14,-12%
2009-11-15 - 2009-11-21,-14%
2009-11-22 - 2009-11-28,-17%
2009-11-29 - 2009-12-05,-12%
2009-12-06 - 2009-12-12,-10%
2009-12-13 - 2009-12-19,-8%
2009-12-20 - 2009-12-26,-17%
2009-12-27 - 2010-01-02,-17%



Top searches
obama,100
police,40
fire,25
army,20
marine,15
obama speech,15
barack obama,15
navy,15
bush,15
shooting,15
marines,10
obama song,10
military,10
crips,10
blood,10
bloods,10
mafia,10
gangland,10
gangs,10
prison,10



Rising searches
health care,+950%
runaway,+160%
anahi,+150%
fema,+130%
president obama,+120%
white house,+120%
my president,+100%
narcos,+90%
president is black,+90%
tigres del norte,+90%



