YouTube Search interest
United States; 2009

Interest over time
Week,News
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-5%
2009-01-18 - 2009-01-24,+20%
2009-01-25 - 2009-01-31,-7%
2009-02-01 - 2009-02-07,+1%
2009-02-08 - 2009-02-14,+23%
2009-02-15 - 2009-02-21,+6%
2009-02-22 - 2009-02-28,+7%
2009-03-01 - 2009-03-07,-4%
2009-03-08 - 2009-03-14,-4%
2009-03-15 - 2009-03-21,-5%
2009-03-22 - 2009-03-28,-5%
2009-03-29 - 2009-04-04,-5%
2009-04-05 - 2009-04-11,-7%
2009-04-12 - 2009-04-18,-2%
2009-04-19 - 2009-04-25,-6%
2009-04-26 - 2009-05-02,-9%
2009-05-03 - 2009-05-09,-12%
2009-05-10 - 2009-05-16,-14%
2009-05-17 - 2009-05-23,-10%
2009-05-24 - 2009-05-30,-16%
2009-05-31 - 2009-06-06,-12%
2009-06-07 - 2009-06-13,-2%
2009-06-14 - 2009-06-20,-2%
2009-06-21 - 2009-06-27,-10%
2009-06-28 - 2009-07-04,-11%
2009-07-05 - 2009-07-11,-11%
2009-07-12 - 2009-07-18,-12%
2009-07-19 - 2009-07-25,+0%
2009-07-26 - 2009-08-01,-9%
2009-08-02 - 2009-08-08,-14%
2009-08-09 - 2009-08-15,-4%
2009-08-16 - 2009-08-22,-5%
2009-08-23 - 2009-08-29,-7%
2009-08-30 - 2009-09-05,-9%
2009-09-06 - 2009-09-12,-6%
2009-09-13 - 2009-09-19,-9%
2009-09-20 - 2009-09-26,-6%
2009-09-27 - 2009-10-03,-5%
2009-10-04 - 2009-10-10,-9%
2009-10-11 - 2009-10-17,-12%
2009-10-18 - 2009-10-24,-11%
2009-10-25 - 2009-10-31,-15%
2009-11-01 - 2009-11-07,-10%
2009-11-08 - 2009-11-14,-7%
2009-11-15 - 2009-11-21,-11%
2009-11-22 - 2009-11-28,-14%
2009-11-29 - 2009-12-05,-16%
2009-12-06 - 2009-12-12,-19%
2009-12-13 - 2009-12-19,-20%
2009-12-20 - 2009-12-26,-23%
2009-12-27 - 2010-01-02,-20%



Top searches
miley,100
miley cyrus,90
britney,35
obama,35
britney spears,30
the climb,25
demi lovato,20
hannah montana,20
news,20
robert pattinson,15
palin,10
cristiano ronaldo,10
kardashian,10
selena gomez,10
britney spears 3,10
joaquin phoenix,10
rihanna,10
gabriel iglesias,10
vanessa hudgens,10
taylor lautner,10



Rising searches
britney spears 3,Breakout
the climb,Breakout
wetter,Breakout
joaquin phoenix,+3,200%
taylor lautner,+400%
rihanna,+350%
robert pattinson,+180%
demi lovato,+80%
selena gomez,+60%
gabriel iglesias,+50%



