Google Shopping interest
United States; 2009

Interest over time
Week,Online Communities
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,-4%
2009-01-25 - 2009-01-31,-7%
2009-02-01 - 2009-02-07,-6%
2009-02-08 - 2009-02-14,-11%
2009-02-15 - 2009-02-21,-13%
2009-02-22 - 2009-02-28,-20%
2009-03-01 - 2009-03-07,-21%
2009-03-08 - 2009-03-14,-21%
2009-03-15 - 2009-03-21,-17%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-8%
2009-04-05 - 2009-04-11,-14%
2009-04-12 - 2009-04-18,-14%
2009-04-19 - 2009-04-25,-13%
2009-04-26 - 2009-05-02,-18%
2009-05-03 - 2009-05-09,-17%
2009-05-10 - 2009-05-16,-20%
2009-05-17 - 2009-05-23,-10%
2009-05-24 - 2009-05-30,-10%
2009-05-31 - 2009-06-06,+2%
2009-06-07 - 2009-06-13,-6%
2009-06-14 - 2009-06-20,-7%
2009-06-21 - 2009-06-27,-12%
2009-06-28 - 2009-07-04,-9%
2009-07-05 - 2009-07-11,-7%
2009-07-12 - 2009-07-18,-4%
2009-07-19 - 2009-07-25,-9%
2009-07-26 - 2009-08-01,-8%
2009-08-02 - 2009-08-08,-7%
2009-08-09 - 2009-08-15,-14%
2009-08-16 - 2009-08-22,-19%
2009-08-23 - 2009-08-29,-15%
2009-08-30 - 2009-09-05,-13%
2009-09-06 - 2009-09-12,-11%
2009-09-13 - 2009-09-19,-19%
2009-09-20 - 2009-09-26,-11%
2009-09-27 - 2009-10-03,-13%
2009-10-04 - 2009-10-10,-16%
2009-10-11 - 2009-10-17,-16%
2009-10-18 - 2009-10-24,-13%
2009-10-25 - 2009-10-31,-17%
2009-11-01 - 2009-11-07,-11%
2009-11-08 - 2009-11-14,-11%
2009-11-15 - 2009-11-21,-19%
2009-11-22 - 2009-11-28,-28%
2009-11-29 - 2009-12-05,-19%
2009-12-06 - 2009-12-12,-19%
2009-12-13 - 2009-12-19,-18%
2009-12-20 - 2009-12-26,-18%
2009-12-27 - 2010-01-02,-18%



Top searches
ps2,100
facebook,75
myspace,75
icon,65
fuse,65
streamlight,60
louboutin,60
zebra,55
christian louboutin,45
maui jim,40
desktop,35
club penguin,30
nintendo wii,25
nintendo wii fit,25
wallpaper,25
photo album,25
webkinz,20
micro usb,20
left 4 dead,20
micro usb cable,15



Rising searches
ico,+500%
left 4 dead,+300%
micro usb,+250%
facebook,+170%
christian louboutin,+150%
louboutin,+140%
micro usb cable,+130%
club penguin,+90%
cm-7000,+90%
samsung laser printer,+80%



