Image Search interest
United States; 2009

Interest over time
Week,Reference
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+3%
2009-01-18 - 2009-01-24,+0%
2009-01-25 - 2009-01-31,+2%
2009-02-01 - 2009-02-07,+8%
2009-02-08 - 2009-02-14,+6%
2009-02-15 - 2009-02-21,-1%
2009-02-22 - 2009-02-28,+12%
2009-03-01 - 2009-03-07,+8%
2009-03-08 - 2009-03-14,+7%
2009-03-15 - 2009-03-21,+6%
2009-03-22 - 2009-03-28,+6%
2009-03-29 - 2009-04-04,+1%
2009-04-05 - 2009-04-11,-7%
2009-04-12 - 2009-04-18,-3%
2009-04-19 - 2009-04-25,+4%
2009-04-26 - 2009-05-02,+6%
2009-05-03 - 2009-05-09,+3%
2009-05-10 - 2009-05-16,+10%
2009-05-17 - 2009-05-23,+8%
2009-05-24 - 2009-05-30,-1%
2009-05-31 - 2009-06-06,-7%
2009-06-07 - 2009-06-13,-20%
2009-06-14 - 2009-06-20,-26%
2009-06-21 - 2009-06-27,-35%
2009-06-28 - 2009-07-04,-37%
2009-07-05 - 2009-07-11,-37%
2009-07-12 - 2009-07-18,-37%
2009-07-19 - 2009-07-25,-36%
2009-07-26 - 2009-08-01,-37%
2009-08-02 - 2009-08-08,-36%
2009-08-09 - 2009-08-15,-34%
2009-08-16 - 2009-08-22,-28%
2009-08-23 - 2009-08-29,-17%
2009-08-30 - 2009-09-05,-7%
2009-09-06 - 2009-09-12,-2%
2009-09-13 - 2009-09-19,+4%
2009-09-20 - 2009-09-26,+8%
2009-09-27 - 2009-10-03,+8%
2009-10-04 - 2009-10-10,+4%
2009-10-11 - 2009-10-17,+4%
2009-10-18 - 2009-10-24,+1%
2009-10-25 - 2009-10-31,+1%
2009-11-01 - 2009-11-07,+6%
2009-11-08 - 2009-11-14,+6%
2009-11-15 - 2009-11-21,+4%
2009-11-22 - 2009-11-28,-11%
2009-11-29 - 2009-12-05,+2%
2009-12-06 - 2009-12-12,+1%
2009-12-13 - 2009-12-19,-2%
2009-12-20 - 2009-12-26,-38%
2009-12-27 - 2010-01-02,-36%



Top searches
map,100
flag,35
world,25
war,25
quotes,15
world map,15
us,10
calendar,10
maps,10
america,10
earth,10
europe,10
united states,10
civil war,10
usa,5
us map,5
europe map,5
love,5
africa,5
united states map,5



Rising searches
quotes and sayings,+1,150%
2009 calendar,+300%
life quotes,+200%
love quotes,+160%
cute quotes,+120%
funny quotes,+90%
sayings,+90%
europa,+80%
quotes,+80%
google maps,+70%



