News Search interest
United States; 2009

Interest over time
Week,Reference
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+24%
2009-01-18 - 2009-01-24,+23%
2009-01-25 - 2009-01-31,+2%
2009-02-01 - 2009-02-07,+45%
2009-02-08 - 2009-02-14,+5%
2009-02-15 - 2009-02-21,+6%
2009-02-22 - 2009-02-28,+0%
2009-03-01 - 2009-03-07,+18%
2009-03-08 - 2009-03-14,+35%
2009-03-15 - 2009-03-21,-8%
2009-03-22 - 2009-03-28,+10%
2009-03-29 - 2009-04-04,+15%
2009-04-05 - 2009-04-11,+0%
2009-04-12 - 2009-04-18,+2%
2009-04-19 - 2009-04-25,+37%
2009-04-26 - 2009-05-02,+10%
2009-05-03 - 2009-05-09,-10%
2009-05-10 - 2009-05-16,-13%
2009-05-17 - 2009-05-23,-23%
2009-05-24 - 2009-05-30,+2%
2009-05-31 - 2009-06-06,-5%
2009-06-07 - 2009-06-13,-8%
2009-06-14 - 2009-06-20,-3%
2009-06-21 - 2009-06-27,-3%
2009-06-28 - 2009-07-04,-15%
2009-07-05 - 2009-07-11,-13%
2009-07-12 - 2009-07-18,-8%
2009-07-19 - 2009-07-25,+5%
2009-07-26 - 2009-08-01,-10%
2009-08-02 - 2009-08-08,-11%
2009-08-09 - 2009-08-15,-11%
2009-08-16 - 2009-08-22,-11%
2009-08-23 - 2009-08-29,-5%
2009-08-30 - 2009-09-05,+3%
2009-09-06 - 2009-09-12,+6%
2009-09-13 - 2009-09-19,-11%
2009-09-20 - 2009-09-26,+5%
2009-09-27 - 2009-10-03,+2%
2009-10-04 - 2009-10-10,+26%
2009-10-11 - 2009-10-17,+24%
2009-10-18 - 2009-10-24,+15%
2009-10-25 - 2009-10-31,+61%
2009-11-01 - 2009-11-07,+24%
2009-11-08 - 2009-11-14,+10%
2009-11-15 - 2009-11-21,-2%
2009-11-22 - 2009-11-28,-8%
2009-11-29 - 2009-12-05,-6%
2009-12-06 - 2009-12-12,+0%
2009-12-13 - 2009-12-19,-10%
2009-12-20 - 2009-12-26,-19%
2009-12-27 - 2010-01-02,+3%



Top searches
craigslist,100
google,85
earth,45
google earth,40
economy,35
map,30
us,30
martin luther king,25
maps,25
history,20
unemployment rate,20
craigslist killer,15
nuclear,15
georgia,15
daylight savings,15
wikipedia,15
bay bridge,15
north korea,15
google maps,15
bing,15



Rising searches
bing,Breakout
craigslist killer,Breakout
north korea,+350%
madagascar,+190%
bay bridge,+180%
craigslist,+140%
deaths,+130%
unemployment rate,+100%
iran,+90%
craigs list,+80%



