YouTube Search interest
United States; 2009

Interest over time
Week,Science
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+0%
2009-01-18 - 2009-01-24,-2%
2009-01-25 - 2009-01-31,+4%
2009-02-01 - 2009-02-07,+2%
2009-02-08 - 2009-02-14,+4%
2009-02-15 - 2009-02-21,+4%
2009-02-22 - 2009-02-28,+4%
2009-03-01 - 2009-03-07,+9%
2009-03-08 - 2009-03-14,+7%
2009-03-15 - 2009-03-21,+7%
2009-03-22 - 2009-03-28,+7%
2009-03-29 - 2009-04-04,+13%
2009-04-05 - 2009-04-11,+6%
2009-04-12 - 2009-04-18,+4%
2009-04-19 - 2009-04-25,+13%
2009-04-26 - 2009-05-02,+15%
2009-05-03 - 2009-05-09,+11%
2009-05-10 - 2009-05-16,+11%
2009-05-17 - 2009-05-23,+9%
2009-05-24 - 2009-05-30,+4%
2009-05-31 - 2009-06-06,+15%
2009-06-07 - 2009-06-13,+20%
2009-06-14 - 2009-06-20,+11%
2009-06-21 - 2009-06-27,+0%
2009-06-28 - 2009-07-04,+6%
2009-07-05 - 2009-07-11,+9%
2009-07-12 - 2009-07-18,+15%
2009-07-19 - 2009-07-25,+24%
2009-07-26 - 2009-08-01,+15%
2009-08-02 - 2009-08-08,+17%
2009-08-09 - 2009-08-15,+24%
2009-08-16 - 2009-08-22,+19%
2009-08-23 - 2009-08-29,+28%
2009-08-30 - 2009-09-05,+26%
2009-09-06 - 2009-09-12,+31%
2009-09-13 - 2009-09-19,+26%
2009-09-20 - 2009-09-26,+41%
2009-09-27 - 2009-10-03,+50%
2009-10-04 - 2009-10-10,+61%
2009-10-11 - 2009-10-17,+67%
2009-10-18 - 2009-10-24,+83%
2009-10-25 - 2009-10-31,+78%
2009-11-01 - 2009-11-07,+81%
2009-11-08 - 2009-11-14,+78%
2009-11-15 - 2009-11-21,+85%
2009-11-22 - 2009-11-28,+65%
2009-11-29 - 2009-12-05,+70%
2009-12-06 - 2009-12-12,+67%
2009-12-13 - 2009-12-19,+63%
2009-12-20 - 2009-12-26,+43%
2009-12-27 - 2010-01-02,+43%



Top searches
fireflies,100
owl city,60
fireflies owl city,55
maxwell,35
spm,30
pretty wings,25
maxwell pretty wings,20
robot,15
math,15
science,15
spider,10
big bang,10
dinosaur,10
big bang theory,10
dinosaurs,10
edgar,10
animals,5
prototype,5
ocean,5
brain,5



Rising searches
fire flies,Breakout
fireflies,Breakout
fireflies owl city,Breakout
fireflys,Breakout
no ceilings,Breakout
owl city,Breakout
pretty wings,Breakout
maxwell pretty wings,+4,450%
meteor shower,+350%
maxwell,+300%



