YouTube Search interest
United States; 2009

Interest over time
Week,Shopping
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-2%
2009-01-18 - 2009-01-24,-2%
2009-01-25 - 2009-01-31,-4%
2009-02-01 - 2009-02-07,-5%
2009-02-08 - 2009-02-14,-5%
2009-02-15 - 2009-02-21,-5%
2009-02-22 - 2009-02-28,-6%
2009-03-01 - 2009-03-07,-5%
2009-03-08 - 2009-03-14,-5%
2009-03-15 - 2009-03-21,-6%
2009-03-22 - 2009-03-28,-5%
2009-03-29 - 2009-04-04,-1%
2009-04-05 - 2009-04-11,-2%
2009-04-12 - 2009-04-18,-4%
2009-04-19 - 2009-04-25,+0%
2009-04-26 - 2009-05-02,+6%
2009-05-03 - 2009-05-09,+4%
2009-05-10 - 2009-05-16,+1%
2009-05-17 - 2009-05-23,+5%
2009-05-24 - 2009-05-30,+5%
2009-05-31 - 2009-06-06,+9%
2009-06-07 - 2009-06-13,+11%
2009-06-14 - 2009-06-20,+12%
2009-06-21 - 2009-06-27,+6%
2009-06-28 - 2009-07-04,+7%
2009-07-05 - 2009-07-11,+6%
2009-07-12 - 2009-07-18,+5%
2009-07-19 - 2009-07-25,+5%
2009-07-26 - 2009-08-01,+6%
2009-08-02 - 2009-08-08,+10%
2009-08-09 - 2009-08-15,+11%
2009-08-16 - 2009-08-22,+15%
2009-08-23 - 2009-08-29,+14%
2009-08-30 - 2009-09-05,+12%
2009-09-06 - 2009-09-12,+12%
2009-09-13 - 2009-09-19,+2%
2009-09-20 - 2009-09-26,+10%
2009-09-27 - 2009-10-03,+14%
2009-10-04 - 2009-10-10,+17%
2009-10-11 - 2009-10-17,+15%
2009-10-18 - 2009-10-24,+17%
2009-10-25 - 2009-10-31,+23%
2009-11-01 - 2009-11-07,+15%
2009-11-08 - 2009-11-14,+15%
2009-11-15 - 2009-11-21,+11%
2009-11-22 - 2009-11-28,+17%
2009-11-29 - 2009-12-05,+19%
2009-12-06 - 2009-12-12,+15%
2009-12-13 - 2009-12-19,+14%
2009-12-20 - 2009-12-26,+20%
2009-12-27 - 2010-01-02,+21%



Top searches
party,100
party in usa,75
lego,75
ipod,75
xbox 360,65
birthday,55
ps3,50
psp,50
ipod touch,50
transformers,40
replay,40
feet,35
shoes,35
bakugan,20
boots,20
nike,20
barbie,20
nerf,20
bikini,20
gucci,20



Rising searches
jerkin,Breakout
party in usa,Breakout
replay,+2,800%
dsi,+950%
birthday,+550%
party,+400%
gucci,+300%
jailbreak ipod touch,+130%
bakugan,+80%
boots,+80%



