News Search interest
United States; 2009

Interest over time
Week,Sports
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-26%
2009-01-18 - 2009-01-24,-32%
2009-01-25 - 2009-01-31,-6%
2009-02-01 - 2009-02-07,+21%
2009-02-08 - 2009-02-14,-36%
2009-02-15 - 2009-02-21,-21%
2009-02-22 - 2009-02-28,-30%
2009-03-01 - 2009-03-07,-21%
2009-03-08 - 2009-03-14,-6%
2009-03-15 - 2009-03-21,+21%
2009-03-22 - 2009-03-28,-11%
2009-03-29 - 2009-04-04,-15%
2009-04-05 - 2009-04-11,-17%
2009-04-12 - 2009-04-18,-24%
2009-04-19 - 2009-04-25,-20%
2009-04-26 - 2009-05-02,-24%
2009-05-03 - 2009-05-09,-21%
2009-05-10 - 2009-05-16,-39%
2009-05-17 - 2009-05-23,-36%
2009-05-24 - 2009-05-30,-6%
2009-05-31 - 2009-06-06,-20%
2009-06-07 - 2009-06-13,-18%
2009-06-14 - 2009-06-20,-15%
2009-06-21 - 2009-06-27,-26%
2009-06-28 - 2009-07-04,-18%
2009-07-05 - 2009-07-11,-2%
2009-07-12 - 2009-07-18,-8%
2009-07-19 - 2009-07-25,-6%
2009-07-26 - 2009-08-01,+2%
2009-08-02 - 2009-08-08,-15%
2009-08-09 - 2009-08-15,+0%
2009-08-16 - 2009-08-22,-9%
2009-08-23 - 2009-08-29,-14%
2009-08-30 - 2009-09-05,-8%
2009-09-06 - 2009-09-12,+2%
2009-09-13 - 2009-09-19,-11%
2009-09-20 - 2009-09-26,-9%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,-14%
2009-10-11 - 2009-10-17,-18%
2009-10-18 - 2009-10-24,-20%
2009-10-25 - 2009-10-31,-9%
2009-11-01 - 2009-11-07,-15%
2009-11-08 - 2009-11-14,-15%
2009-11-15 - 2009-11-21,-5%
2009-11-22 - 2009-11-28,-3%
2009-11-29 - 2009-12-05,+33%
2009-12-06 - 2009-12-12,+52%
2009-12-13 - 2009-12-19,+32%
2009-12-20 - 2009-12-26,+23%
2009-12-27 - 2010-01-02,+33%



Top searches
tiger woods,100
nfl,75
football,65
basketball,55
ncaa,55
nba,30
nfl draft,30
pacquiao,25
ufc,25
favre,20
baseball,20
ncaa basketball,20
super bowl,20
nfl draft 2009,15
lakers,15
espn,15
brett favre,15
ncaa bracket,15
yankees,15
steelers,15



Rising searches
nfl draft 2009,+1,500%
tiger woods,+950%
vick,+400%
mayweather,+250%
mock draft,+160%
real madrid,+110%
yankees,+100%
manny pacquiao,+90%
vikings,+90%
steelers,+80%



