News Search interest
United States; 2010

Interest over time
Week,Computers & Electronics
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-12%
2010-01-17 - 2010-01-23,-10%
2010-01-24 - 2010-01-30,+67%
2010-01-31 - 2010-02-06,-2%
2010-02-07 - 2010-02-13,-8%
2010-02-14 - 2010-02-20,-8%
2010-02-21 - 2010-02-27,-2%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,-2%
2010-03-14 - 2010-03-20,-3%
2010-03-21 - 2010-03-27,-5%
2010-03-28 - 2010-04-03,+3%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+3%
2010-04-18 - 2010-04-24,+2%
2010-04-25 - 2010-05-01,-2%
2010-05-02 - 2010-05-08,-13%
2010-05-09 - 2010-05-15,-13%
2010-05-16 - 2010-05-22,-20%
2010-05-23 - 2010-05-29,+22%
2010-05-30 - 2010-06-05,+7%
2010-06-06 - 2010-06-12,+30%
2010-06-13 - 2010-06-19,+5%
2010-06-20 - 2010-06-26,-12%
2010-06-27 - 2010-07-03,+7%
2010-07-04 - 2010-07-10,+5%
2010-07-11 - 2010-07-17,+17%
2010-07-18 - 2010-07-24,+17%
2010-07-25 - 2010-07-31,+22%
2010-08-01 - 2010-08-07,+20%
2010-08-08 - 2010-08-14,+10%
2010-08-15 - 2010-08-21,+12%
2010-08-22 - 2010-08-28,+7%
2010-08-29 - 2010-09-04,+52%
2010-09-05 - 2010-09-11,+23%
2010-09-12 - 2010-09-18,+22%
2010-09-19 - 2010-09-25,+8%
2010-09-26 - 2010-10-02,-7%
2010-10-03 - 2010-10-09,-3%
2010-10-10 - 2010-10-16,+2%
2010-10-17 - 2010-10-23,+25%
2010-10-24 - 2010-10-30,+12%
2010-10-31 - 2010-11-06,-12%
2010-11-07 - 2010-11-13,+18%
2010-11-14 - 2010-11-20,+18%
2010-11-21 - 2010-11-27,+13%
2010-11-28 - 2010-12-04,+2%
2010-12-05 - 2010-12-11,+13%
2010-12-12 - 2010-12-18,+7%
2010-12-19 - 2010-12-25,+17%
2010-12-26 - 2011-01-01,+8%



Top searches
apple,100
ipad,50
ps3,35
ipod,30
xbox,25
ipod touch,25
technology,25
windows,25
tablet,25
iphone,20
google,20
microsoft,20
mobile technology,20
kindle,15
gary coleman,15
macbook,15
intel,15
xbox 360,15
360,15
hp,15



Rising searches
gary coleman,Breakout
ipad,Breakout
mobile technology,Breakout
technology,+350%
tablet,+300%
macbook pro,+190%
android,+180%
apple,+130%
macbook,+130%
eclipse,+100%



