Web Search interest
United States; 2010

Interest over time
Week,Finance
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-4%
2010-01-17 - 2010-01-23,-5%
2010-01-24 - 2010-01-30,+1%
2010-01-31 - 2010-02-06,+3%
2010-02-07 - 2010-02-13,-4%
2010-02-14 - 2010-02-20,-7%
2010-02-21 - 2010-02-27,-6%
2010-02-28 - 2010-03-06,-1%
2010-03-07 - 2010-03-13,-5%
2010-03-14 - 2010-03-20,-4%
2010-03-21 - 2010-03-27,-5%
2010-03-28 - 2010-04-03,-5%
2010-04-04 - 2010-04-10,-3%
2010-04-11 - 2010-04-17,+6%
2010-04-18 - 2010-04-24,-13%
2010-04-25 - 2010-05-01,-11%
2010-05-02 - 2010-05-08,-11%
2010-05-09 - 2010-05-15,-12%
2010-05-16 - 2010-05-22,-13%
2010-05-23 - 2010-05-29,-13%
2010-05-30 - 2010-06-05,-14%
2010-06-06 - 2010-06-12,-13%
2010-06-13 - 2010-06-19,-11%
2010-06-20 - 2010-06-26,-14%
2010-06-27 - 2010-07-03,-6%
2010-07-04 - 2010-07-10,-18%
2010-07-11 - 2010-07-17,-11%
2010-07-18 - 2010-07-24,-11%
2010-07-25 - 2010-07-31,-11%
2010-08-01 - 2010-08-07,-11%
2010-08-08 - 2010-08-14,-10%
2010-08-15 - 2010-08-21,-11%
2010-08-22 - 2010-08-28,-16%
2010-08-29 - 2010-09-04,-12%
2010-09-05 - 2010-09-11,-19%
2010-09-12 - 2010-09-18,-13%
2010-09-19 - 2010-09-25,-16%
2010-09-26 - 2010-10-02,-13%
2010-10-03 - 2010-10-09,-14%
2010-10-10 - 2010-10-16,-16%
2010-10-17 - 2010-10-23,-16%
2010-10-24 - 2010-10-30,-16%
2010-10-31 - 2010-11-06,-15%
2010-11-07 - 2010-11-13,-15%
2010-11-14 - 2010-11-20,-15%
2010-11-21 - 2010-11-27,-28%
2010-11-28 - 2010-12-04,-12%
2010-12-05 - 2010-12-11,-16%
2010-12-12 - 2010-12-18,-18%
2010-12-19 - 2010-12-25,-19%
2010-12-26 - 2011-01-01,-15%



Top searches
bank,100
chase,30
bank of america,30
wells fargo,15
credit card,10
wachovia,10
capital one,10
irs,10
chase bank,5
money,5
american express,5
chase online,5
citibank,5
finance,5
mortgage calculator,5
usaa,5
suntrust,5
us bank,5
hsbc,5
credit report,5



Rising searches
inception,+3,900%
chase online,+120%
turbotax,+80%
pnc,+60%
bancomer,+50%
pnc bank,+50%
banco nacion,+40%
chase,+40%
free credit score,+40%
itau,+40%



