News Search interest
United States; 2010

Interest over time
Week,Games
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-4%
2010-01-17 - 2010-01-23,-6%
2010-01-24 - 2010-01-30,+31%
2010-01-31 - 2010-02-06,+21%
2010-02-07 - 2010-02-13,+37%
2010-02-14 - 2010-02-20,+12%
2010-02-21 - 2010-02-27,+31%
2010-02-28 - 2010-03-06,+50%
2010-03-07 - 2010-03-13,+31%
2010-03-14 - 2010-03-20,+15%
2010-03-21 - 2010-03-27,+0%
2010-03-28 - 2010-04-03,+13%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,-2%
2010-04-18 - 2010-04-24,+4%
2010-04-25 - 2010-05-01,+92%
2010-05-02 - 2010-05-08,+44%
2010-05-09 - 2010-05-15,+4%
2010-05-16 - 2010-05-22,+21%
2010-05-23 - 2010-05-29,+13%
2010-05-30 - 2010-06-05,-10%
2010-06-06 - 2010-06-12,+8%
2010-06-13 - 2010-06-19,+42%
2010-06-20 - 2010-06-26,-4%
2010-06-27 - 2010-07-03,-21%
2010-07-04 - 2010-07-10,-10%
2010-07-11 - 2010-07-17,-21%
2010-07-18 - 2010-07-24,-23%
2010-07-25 - 2010-07-31,-6%
2010-08-01 - 2010-08-07,-23%
2010-08-08 - 2010-08-14,-25%
2010-08-15 - 2010-08-21,-12%
2010-08-22 - 2010-08-28,-19%
2010-08-29 - 2010-09-04,-19%
2010-09-05 - 2010-09-11,-4%
2010-09-12 - 2010-09-18,+6%
2010-09-19 - 2010-09-25,-10%
2010-09-26 - 2010-10-02,-12%
2010-10-03 - 2010-10-09,-6%
2010-10-10 - 2010-10-16,+2%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,+0%
2010-10-31 - 2010-11-06,-15%
2010-11-07 - 2010-11-13,+13%
2010-11-14 - 2010-11-20,+0%
2010-11-21 - 2010-11-27,+2%
2010-11-28 - 2010-12-04,-4%
2010-12-05 - 2010-12-11,+4%
2010-12-12 - 2010-12-18,+15%
2010-12-19 - 2010-12-25,+2%
2010-12-26 - 2011-01-01,+29%



Top searches
ps3,100
xbox,70
games,50
360,45
xbox 360,45
playstation,35
wii,35
lottery,30
kentucky derby,25
nintendo,25
starcraft,20
thailand,20
mega millions,20
halo,20
modern warfare,20
call of duty,20
modern warfare 2,20
playstation 3,15
final fantasy,15
starcraft 2,15



Rising searches
black ops,Breakout
halo reach,+1,100%
mass effect,+350%
starcraft 2,+300%
fifa,+250%
starcraft,+250%
thailand,+160%
final fantasy,+120%
god of war,+120%
warcraft,+90%



