News Search interest
United States; 2010

Interest over time
Week,Hobbies & Leisure
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-15%
2010-01-17 - 2010-01-23,-15%
2010-01-24 - 2010-01-30,-8%
2010-01-31 - 2010-02-06,+34%
2010-02-07 - 2010-02-13,+18%
2010-02-14 - 2010-02-20,+64%
2010-02-21 - 2010-02-27,+2%
2010-02-28 - 2010-03-06,-10%
2010-03-07 - 2010-03-13,-2%
2010-03-14 - 2010-03-20,+0%
2010-03-21 - 2010-03-27,+5%
2010-03-28 - 2010-04-03,+26%
2010-04-04 - 2010-04-10,-3%
2010-04-11 - 2010-04-17,-10%
2010-04-18 - 2010-04-24,+20%
2010-04-25 - 2010-05-01,+7%
2010-05-02 - 2010-05-08,+20%
2010-05-09 - 2010-05-15,+30%
2010-05-16 - 2010-05-22,+49%
2010-05-23 - 2010-05-29,-5%
2010-05-30 - 2010-06-05,+11%
2010-06-06 - 2010-06-12,+5%
2010-06-13 - 2010-06-19,-2%
2010-06-20 - 2010-06-26,-5%
2010-06-27 - 2010-07-03,+8%
2010-07-04 - 2010-07-10,+56%
2010-07-11 - 2010-07-17,+38%
2010-07-18 - 2010-07-24,+61%
2010-07-25 - 2010-07-31,+28%
2010-08-01 - 2010-08-07,+23%
2010-08-08 - 2010-08-14,+2%
2010-08-15 - 2010-08-21,-3%
2010-08-22 - 2010-08-28,+7%
2010-08-29 - 2010-09-04,-13%
2010-09-05 - 2010-09-11,+21%
2010-09-12 - 2010-09-18,+10%
2010-09-19 - 2010-09-25,-3%
2010-09-26 - 2010-10-02,-5%
2010-10-03 - 2010-10-09,+16%
2010-10-10 - 2010-10-16,+15%
2010-10-17 - 2010-10-23,-7%
2010-10-24 - 2010-10-30,+7%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+26%
2010-11-14 - 2010-11-20,+8%
2010-11-21 - 2010-11-27,+13%
2010-11-28 - 2010-12-04,+5%
2010-12-05 - 2010-12-11,+11%
2010-12-12 - 2010-12-18,+2%
2010-12-19 - 2010-12-25,+31%
2010-12-26 - 2011-01-01,+64%



Top searches
armstrong,100
lance armstrong,100
dog,80
lottery,55
boeing,55
thailand,40
marathon,40
tour de france,40
wedding,40
mega millions,40
whale,25
alberto contador,25
dog show,25
sony,25
groundhog,20
animal,20
nikon,20
horse,20
fishing,20
christmas,20



Rising searches
andy irons,Breakout
alberto contador,+950%
floyd landis,+700%
boy scouts,+300%
whale,+250%
aircraft,+160%
thailand,+150%
bachelorette,+90%
boeing,+90%
lance armstrong,+70%



