News Search interest
United States; 2010

Interest over time
Week,Home & Garden
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-11%
2010-01-17 - 2010-01-23,-15%
2010-01-24 - 2010-01-30,-9%
2010-01-31 - 2010-02-06,-6%
2010-02-07 - 2010-02-13,-1%
2010-02-14 - 2010-02-20,-14%
2010-02-21 - 2010-02-27,-1%
2010-02-28 - 2010-03-06,-7%
2010-03-07 - 2010-03-13,-6%
2010-03-14 - 2010-03-20,-4%
2010-03-21 - 2010-03-27,-4%
2010-03-28 - 2010-04-03,+25%
2010-04-04 - 2010-04-10,+11%
2010-04-11 - 2010-04-17,-3%
2010-04-18 - 2010-04-24,+4%
2010-04-25 - 2010-05-01,+10%
2010-05-02 - 2010-05-08,+0%
2010-05-09 - 2010-05-15,+0%
2010-05-16 - 2010-05-22,+11%
2010-05-23 - 2010-05-29,+5%
2010-05-30 - 2010-06-05,+1%
2010-06-06 - 2010-06-12,+6%
2010-06-13 - 2010-06-19,+20%
2010-06-20 - 2010-06-26,+19%
2010-06-27 - 2010-07-03,+16%
2010-07-04 - 2010-07-10,-15%
2010-07-11 - 2010-07-17,-6%
2010-07-18 - 2010-07-24,+7%
2010-07-25 - 2010-07-31,-11%
2010-08-01 - 2010-08-07,-10%
2010-08-08 - 2010-08-14,-15%
2010-08-15 - 2010-08-21,-9%
2010-08-22 - 2010-08-28,-19%
2010-08-29 - 2010-09-04,-18%
2010-09-05 - 2010-09-11,-11%
2010-09-12 - 2010-09-18,-6%
2010-09-19 - 2010-09-25,-3%
2010-09-26 - 2010-10-02,-15%
2010-10-03 - 2010-10-09,-11%
2010-10-10 - 2010-10-16,-4%
2010-10-17 - 2010-10-23,+0%
2010-10-24 - 2010-10-30,+2%
2010-10-31 - 2010-11-06,-14%
2010-11-07 - 2010-11-13,-1%
2010-11-14 - 2010-11-20,+1%
2010-11-21 - 2010-11-27,+1%
2010-11-28 - 2010-12-04,+13%
2010-12-05 - 2010-12-11,+7%
2010-12-12 - 2010-12-18,+16%
2010-12-19 - 2010-12-25,+13%
2010-12-26 - 2011-01-01,+21%



Top searches
furniture,100
debt,85
home depot,85
angle,75
nook,65
ge,65
lowes,55
sharron angle,45
led,35
heat,35
ikea,30
paint,30
lighting,30
parker,25
drywall,25
hgtv,25
lowes home improvement,25
bedding,20
pot,20
slate,20



Rising searches
nook color,Breakout
sharron angle,Breakout
window seat,Breakout
angle,+3,750%
lowes home improvement,+550%
slate,+450%
nook,+200%
heat,+170%
bedding,+150%
debt,+100%



