Google Shopping interest
United States; 2010

Interest over time
Week,Pets & Animals
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-2%
2010-01-17 - 2010-01-23,+2%
2010-01-24 - 2010-01-30,+4%
2010-01-31 - 2010-02-06,-1%
2010-02-07 - 2010-02-13,+1%
2010-02-14 - 2010-02-20,+10%
2010-02-21 - 2010-02-27,+14%
2010-02-28 - 2010-03-06,+19%
2010-03-07 - 2010-03-13,+21%
2010-03-14 - 2010-03-20,+21%
2010-03-21 - 2010-03-27,+20%
2010-03-28 - 2010-04-03,+20%
2010-04-04 - 2010-04-10,+19%
2010-04-11 - 2010-04-17,+21%
2010-04-18 - 2010-04-24,+19%
2010-04-25 - 2010-05-01,+23%
2010-05-02 - 2010-05-08,+19%
2010-05-09 - 2010-05-15,+11%
2010-05-16 - 2010-05-22,+11%
2010-05-23 - 2010-05-29,+7%
2010-05-30 - 2010-06-05,+12%
2010-06-06 - 2010-06-12,+6%
2010-06-13 - 2010-06-19,+10%
2010-06-20 - 2010-06-26,+5%
2010-06-27 - 2010-07-03,+14%
2010-07-04 - 2010-07-10,+19%
2010-07-11 - 2010-07-17,+9%
2010-07-18 - 2010-07-24,+14%
2010-07-25 - 2010-07-31,+15%
2010-08-01 - 2010-08-07,+7%
2010-08-08 - 2010-08-14,+5%
2010-08-15 - 2010-08-21,+5%
2010-08-22 - 2010-08-28,+0%
2010-08-29 - 2010-09-04,+0%
2010-09-05 - 2010-09-11,+1%
2010-09-12 - 2010-09-18,+7%
2010-09-19 - 2010-09-25,+6%
2010-09-26 - 2010-10-02,+4%
2010-10-03 - 2010-10-09,+2%
2010-10-10 - 2010-10-16,+6%
2010-10-17 - 2010-10-23,-2%
2010-10-24 - 2010-10-30,-7%
2010-10-31 - 2010-11-06,-2%
2010-11-07 - 2010-11-13,-6%
2010-11-14 - 2010-11-20,-4%
2010-11-21 - 2010-11-27,-23%
2010-11-28 - 2010-12-04,-22%
2010-12-05 - 2010-12-11,-19%
2010-12-12 - 2010-12-18,-15%
2010-12-19 - 2010-12-25,-20%
2010-12-26 - 2011-01-01,-11%



Top searches
dog,100
cat,35
dogs,25
aquarium,25
fish,25
dog food,10
fish tank,10
frontline,10
hamster,10
cats,5
puppy,5
frontline plus,5
horse,5
dog bed,5
pets,5
dog crate,5
kennel,5
rabbit,5
litter box,5
dog house,5



Rising searches
cat collar,+100%
hummingbird feeder,+100%
dog kennels,+90%
aquarium light,+80%
bark collar,+80%
dog crates,+80%
hamster cages,+70%
kennels,+70%
bird cage,+60%
cat litter,+60%



