YouTube Search interest
United States; 2010

Interest over time
Week,Reference
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+4%
2010-01-17 - 2010-01-23,+7%
2010-01-24 - 2010-01-30,+5%
2010-01-31 - 2010-02-06,+5%
2010-02-07 - 2010-02-13,+2%
2010-02-14 - 2010-02-20,+4%
2010-02-21 - 2010-02-27,+10%
2010-02-28 - 2010-03-06,+5%
2010-03-07 - 2010-03-13,+6%
2010-03-14 - 2010-03-20,+14%
2010-03-21 - 2010-03-27,+8%
2010-03-28 - 2010-04-03,+6%
2010-04-04 - 2010-04-10,+8%
2010-04-11 - 2010-04-17,+12%
2010-04-18 - 2010-04-24,+12%
2010-04-25 - 2010-05-01,+13%
2010-05-02 - 2010-05-08,+11%
2010-05-09 - 2010-05-15,+10%
2010-05-16 - 2010-05-22,+8%
2010-05-23 - 2010-05-29,+7%
2010-05-30 - 2010-06-05,+10%
2010-06-06 - 2010-06-12,+6%
2010-06-13 - 2010-06-19,+8%
2010-06-20 - 2010-06-26,+7%
2010-06-27 - 2010-07-03,+10%
2010-07-04 - 2010-07-10,+13%
2010-07-11 - 2010-07-17,+7%
2010-07-18 - 2010-07-24,+5%
2010-07-25 - 2010-07-31,+8%
2010-08-01 - 2010-08-07,+1%
2010-08-08 - 2010-08-14,+2%
2010-08-15 - 2010-08-21,+4%
2010-08-22 - 2010-08-28,+8%
2010-08-29 - 2010-09-04,+7%
2010-09-05 - 2010-09-11,+7%
2010-09-12 - 2010-09-18,+15%
2010-09-19 - 2010-09-25,+13%
2010-09-26 - 2010-10-02,+15%
2010-10-03 - 2010-10-09,+19%
2010-10-10 - 2010-10-16,+17%
2010-10-17 - 2010-10-23,+19%
2010-10-24 - 2010-10-30,+12%
2010-10-31 - 2010-11-06,+13%
2010-11-07 - 2010-11-13,+12%
2010-11-14 - 2010-11-20,+15%
2010-11-21 - 2010-11-27,+10%
2010-11-28 - 2010-12-04,+13%
2010-12-05 - 2010-12-11,+17%
2010-12-12 - 2010-12-18,+15%
2010-12-19 - 2010-12-25,+8%
2010-12-26 - 2011-01-01,+13%



Top searches
english,100
speak,90
waving flag,80
americano,70
history,60
no speak americano,55
leprechaun,50
speech,50
quotes,45
despicable,40
alabama leprechaun,35
despicable me,35
french,35
unicorn,30
leprechaun in alabama,30
hypnosis,25
sooner than later,25
erasure,25
kush,25
dispicable,25



Rising searches
americano,Breakout
no speak americano,Breakout
roger that,Breakout
dispicable,+4,300%
despicable,+2,900%
despicable me,+2,500%
waving flag,+1,250%
kush,+190%
speak,+160%
erasure,+130%



