Image Search interest
United States; 2010

Interest over time
Week,Science
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+11%
2010-01-17 - 2010-01-23,+11%
2010-01-24 - 2010-01-30,+15%
2010-01-31 - 2010-02-06,+11%
2010-02-07 - 2010-02-13,+13%
2010-02-14 - 2010-02-20,+11%
2010-02-21 - 2010-02-27,+28%
2010-02-28 - 2010-03-06,+31%
2010-03-07 - 2010-03-13,+25%
2010-03-14 - 2010-03-20,+25%
2010-03-21 - 2010-03-27,+25%
2010-03-28 - 2010-04-03,+13%
2010-04-04 - 2010-04-10,+18%
2010-04-11 - 2010-04-17,+35%
2010-04-18 - 2010-04-24,+41%
2010-04-25 - 2010-05-01,+34%
2010-05-02 - 2010-05-08,+34%
2010-05-09 - 2010-05-15,+31%
2010-05-16 - 2010-05-22,+32%
2010-05-23 - 2010-05-29,+24%
2010-05-30 - 2010-06-05,+24%
2010-06-06 - 2010-06-12,+8%
2010-06-13 - 2010-06-19,-8%
2010-06-20 - 2010-06-26,-17%
2010-06-27 - 2010-07-03,-23%
2010-07-04 - 2010-07-10,-28%
2010-07-11 - 2010-07-17,-27%
2010-07-18 - 2010-07-24,-28%
2010-07-25 - 2010-07-31,-28%
2010-08-01 - 2010-08-07,-24%
2010-08-08 - 2010-08-14,-24%
2010-08-15 - 2010-08-21,-18%
2010-08-22 - 2010-08-28,-8%
2010-08-29 - 2010-09-04,+7%
2010-09-05 - 2010-09-11,+8%
2010-09-12 - 2010-09-18,+14%
2010-09-19 - 2010-09-25,+25%
2010-09-26 - 2010-10-02,+32%
2010-10-03 - 2010-10-09,+27%
2010-10-10 - 2010-10-16,+18%
2010-10-17 - 2010-10-23,+23%
2010-10-24 - 2010-10-30,+14%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+20%
2010-11-14 - 2010-11-20,+17%
2010-11-21 - 2010-11-27,-11%
2010-11-28 - 2010-12-04,+4%
2010-12-05 - 2010-12-11,+4%
2010-12-12 - 2010-12-18,-4%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-46%



Top searches
animals,100
spider,95
water,90
cell,90
periodic table,85
earth,80
ocean,70
butterfly,70
sea,60
moon,60
bug,60
science,55
bugs,55
math,50
brain,50
dinosaur,50
space,50
sun,45
rainforest,40
dna,40



Rising searches
human centipede,Breakout
lunar eclipse 2010,Breakout
sinkhole,+850%
lunar eclipse,+300%
bed bugs,+130%
bed bug,+120%
dinosaur pictures,+100%
centipede,+80%
stephen hawking,+80%
narwhal,+60%



