News Search interest
United States; 2010

Interest over time
Week,Shopping
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-3%
2010-01-17 - 2010-01-23,-11%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,-2%
2010-02-07 - 2010-02-13,-2%
2010-02-14 - 2010-02-20,-8%
2010-02-21 - 2010-02-27,-11%
2010-02-28 - 2010-03-06,+5%
2010-03-07 - 2010-03-13,-5%
2010-03-14 - 2010-03-20,-5%
2010-03-21 - 2010-03-27,-9%
2010-03-28 - 2010-04-03,-11%
2010-04-04 - 2010-04-10,-8%
2010-04-11 - 2010-04-17,-2%
2010-04-18 - 2010-04-24,-11%
2010-04-25 - 2010-05-01,-8%
2010-05-02 - 2010-05-08,-9%
2010-05-09 - 2010-05-15,-9%
2010-05-16 - 2010-05-22,-17%
2010-05-23 - 2010-05-29,-11%
2010-05-30 - 2010-06-05,-19%
2010-06-06 - 2010-06-12,-14%
2010-06-13 - 2010-06-19,-8%
2010-06-20 - 2010-06-26,-9%
2010-06-27 - 2010-07-03,-14%
2010-07-04 - 2010-07-10,-22%
2010-07-11 - 2010-07-17,-2%
2010-07-18 - 2010-07-24,-16%
2010-07-25 - 2010-07-31,+14%
2010-08-01 - 2010-08-07,-11%
2010-08-08 - 2010-08-14,-11%
2010-08-15 - 2010-08-21,+6%
2010-08-22 - 2010-08-28,+14%
2010-08-29 - 2010-09-04,+56%
2010-09-05 - 2010-09-11,+9%
2010-09-12 - 2010-09-18,+2%
2010-09-19 - 2010-09-25,+14%
2010-09-26 - 2010-10-02,-2%
2010-10-03 - 2010-10-09,-8%
2010-10-10 - 2010-10-16,+0%
2010-10-17 - 2010-10-23,-5%
2010-10-24 - 2010-10-30,+2%
2010-10-31 - 2010-11-06,+5%
2010-11-07 - 2010-11-13,+28%
2010-11-14 - 2010-11-20,+23%
2010-11-21 - 2010-11-27,+56%
2010-11-28 - 2010-12-04,+27%
2010-12-05 - 2010-12-11,+17%
2010-12-12 - 2010-12-18,+11%
2010-12-19 - 2010-12-25,+16%
2010-12-26 - 2011-01-01,+11%



Top searches
ps3,100
ipod,85
xbox,75
ipod touch,70
kindle,50
amazon,50
apple,50
360,45
xbox 360,45
netflix,40
ipad,40
playstation,40
walmart,30
sony,30
amazon kindle,25
ebay,25
nintendo,25
ipad apple,20
tea party,20
playstation 3,20



Rising searches
cam newton,Breakout
ipad,Breakout
ipad apple,Breakout
newton,+2,550%
consumer reports,+700%
amazon kindle,+500%
apple tv,+250%
netflix,+250%
apple,+190%
amazon,+150%



