Google Shopping interest
United States; 2010

Interest over time
Week,Travel
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+5%
2010-01-17 - 2010-01-23,+11%
2010-01-24 - 2010-01-30,+10%
2010-01-31 - 2010-02-06,+6%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,+3%
2010-02-21 - 2010-02-27,+8%
2010-02-28 - 2010-03-06,+15%
2010-03-07 - 2010-03-13,+11%
2010-03-14 - 2010-03-20,+16%
2010-03-21 - 2010-03-27,+18%
2010-03-28 - 2010-04-03,+15%
2010-04-04 - 2010-04-10,+13%
2010-04-11 - 2010-04-17,+18%
2010-04-18 - 2010-04-24,+21%
2010-04-25 - 2010-05-01,+18%
2010-05-02 - 2010-05-08,+23%
2010-05-09 - 2010-05-15,+27%
2010-05-16 - 2010-05-22,+24%
2010-05-23 - 2010-05-29,+27%
2010-05-30 - 2010-06-05,+32%
2010-06-06 - 2010-06-12,+40%
2010-06-13 - 2010-06-19,+47%
2010-06-20 - 2010-06-26,+29%
2010-06-27 - 2010-07-03,+37%
2010-07-04 - 2010-07-10,+45%
2010-07-11 - 2010-07-17,+37%
2010-07-18 - 2010-07-24,+55%
2010-07-25 - 2010-07-31,+50%
2010-08-01 - 2010-08-07,+60%
2010-08-08 - 2010-08-14,+61%
2010-08-15 - 2010-08-21,+56%
2010-08-22 - 2010-08-28,+47%
2010-08-29 - 2010-09-04,+40%
2010-09-05 - 2010-09-11,+34%
2010-09-12 - 2010-09-18,+26%
2010-09-19 - 2010-09-25,+26%
2010-09-26 - 2010-10-02,+16%
2010-10-03 - 2010-10-09,+13%
2010-10-10 - 2010-10-16,+19%
2010-10-17 - 2010-10-23,+13%
2010-10-24 - 2010-10-30,+11%
2010-10-31 - 2010-11-06,+18%
2010-11-07 - 2010-11-13,-5%
2010-11-14 - 2010-11-20,-21%
2010-11-21 - 2010-11-27,-29%
2010-11-28 - 2010-12-04,-8%
2010-12-05 - 2010-12-11,+5%
2010-12-12 - 2010-12-18,+8%
2010-12-19 - 2010-12-25,-2%
2010-12-26 - 2011-01-01,+3%



Top searches
backpack,100
luggage,50
travel,45
backpacks,45
jansport,20
vera bradley,15
travel system,15
dakine,15
samsonite,15
garment bag,10
suitcase,10
briefcase,10
duffel bag,10
victorinox,5
jansport backpack,5
hiking backpack,5
jansport backpacks,5
deals,5
graco travel system,5
duffle bag,5



Rising searches
hiking backpack,+500%
school backpack,+350%
hikers backpack,+170%
butterfly house,+120%
graco travel system,+120%
snapple,+120%
travel system,+100%
jansport backpacks,+70%
briefcases,+60%
carry on luggage,+50%



