News Search interest
United States; 2011

Interest over time
Week,Arts & Entertainment
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-10%
2011-01-16 - 2011-01-22,+13%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,+4%
2011-02-06 - 2011-02-12,+19%
2011-02-13 - 2011-02-19,+23%
2011-02-20 - 2011-02-26,+3%
2011-02-27 - 2011-03-05,+23%
2011-03-06 - 2011-03-12,-4%
2011-03-13 - 2011-03-19,-6%
2011-03-20 - 2011-03-26,+10%
2011-03-27 - 2011-04-02,+6%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,+9%
2011-04-17 - 2011-04-23,+10%
2011-04-24 - 2011-04-30,+5%
2011-05-01 - 2011-05-07,+0%
2011-05-08 - 2011-05-14,+17%
2011-05-15 - 2011-05-21,+28%
2011-05-22 - 2011-05-28,+26%
2011-05-29 - 2011-06-04,+8%
2011-06-05 - 2011-06-11,+12%
2011-06-12 - 2011-06-18,+5%
2011-06-19 - 2011-06-25,+4%
2011-06-26 - 2011-07-02,+8%
2011-07-03 - 2011-07-09,+0%
2011-07-10 - 2011-07-16,+8%
2011-07-17 - 2011-07-23,+14%
2011-07-24 - 2011-07-30,+10%
2011-07-31 - 2011-08-06,+3%
2011-08-07 - 2011-08-13,+4%
2011-08-14 - 2011-08-20,+4%
2011-08-21 - 2011-08-27,-12%
2011-08-28 - 2011-09-03,+3%
2011-09-04 - 2011-09-10,-4%
2011-09-11 - 2011-09-17,+4%
2011-09-18 - 2011-09-24,+12%
2011-09-25 - 2011-10-01,+5%
2011-10-02 - 2011-10-08,-1%
2011-10-09 - 2011-10-15,+9%
2011-10-16 - 2011-10-22,+4%
2011-10-23 - 2011-10-29,+1%
2011-10-30 - 2011-11-05,+10%
2011-11-06 - 2011-11-12,+8%
2011-11-13 - 2011-11-19,+13%
2011-11-20 - 2011-11-26,+19%
2011-11-27 - 2011-12-03,+12%
2011-12-04 - 2011-12-10,+12%
2011-12-11 - 2011-12-17,+6%
2011-12-18 - 2011-12-24,+13%
2011-12-25 - 2011-12-31,+10%



Top searches
youtube youtube,100
youtube,100
gaga,65
lady gaga,60
american idol,60
selena gomez,60
music,55
netflix,55
glee,40
justin bieber,35
droid,35
dark knight rises,35
ufo,35
movies,35
occupy wall street,35
beyonce,30
kate middleton,30
lil wayne,30
miley cyrus,30
lohan,30



Rising searches
herman cain,Breakout
occupy wall street,Breakout
dark knight rises,+2,600%
x factor,+1,050%
amy winehouse,+600%
justin bieber,+300%
selena gomez,+250%
kate middleton,+200%
netflix,+130%
beyonce,+110%



