News Search interest
United States; 2011

Interest over time
Week,Autos & Vehicles
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-3%
2011-01-16 - 2011-01-22,-4%
2011-01-23 - 2011-01-29,+7%
2011-01-30 - 2011-02-05,-4%
2011-02-06 - 2011-02-12,+7%
2011-02-13 - 2011-02-19,-1%
2011-02-20 - 2011-02-26,+8%
2011-02-27 - 2011-03-05,+12%
2011-03-06 - 2011-03-12,-7%
2011-03-13 - 2011-03-19,-11%
2011-03-20 - 2011-03-26,-3%
2011-03-27 - 2011-04-02,+3%
2011-04-03 - 2011-04-09,+1%
2011-04-10 - 2011-04-16,+9%
2011-04-17 - 2011-04-23,+22%
2011-04-24 - 2011-04-30,+3%
2011-05-01 - 2011-05-07,-8%
2011-05-08 - 2011-05-14,+8%
2011-05-15 - 2011-05-21,+0%
2011-05-22 - 2011-05-28,+4%
2011-05-29 - 2011-06-04,+14%
2011-06-05 - 2011-06-11,+5%
2011-06-12 - 2011-06-18,+8%
2011-06-19 - 2011-06-25,+16%
2011-06-26 - 2011-07-02,+16%
2011-07-03 - 2011-07-09,+7%
2011-07-10 - 2011-07-16,+8%
2011-07-17 - 2011-07-23,+9%
2011-07-24 - 2011-07-30,+7%
2011-07-31 - 2011-08-06,+11%
2011-08-07 - 2011-08-13,+5%
2011-08-14 - 2011-08-20,+11%
2011-08-21 - 2011-08-27,-4%
2011-08-28 - 2011-09-03,-5%
2011-09-04 - 2011-09-10,+4%
2011-09-11 - 2011-09-17,+7%
2011-09-18 - 2011-09-24,-1%
2011-09-25 - 2011-10-01,+3%
2011-10-02 - 2011-10-08,+35%
2011-10-09 - 2011-10-15,+32%
2011-10-16 - 2011-10-22,+14%
2011-10-23 - 2011-10-29,+8%
2011-10-30 - 2011-11-05,+1%
2011-11-06 - 2011-11-12,-9%
2011-11-13 - 2011-11-19,+3%
2011-11-20 - 2011-11-26,-4%
2011-11-27 - 2011-12-03,+7%
2011-12-04 - 2011-12-10,+5%
2011-12-11 - 2011-12-17,-1%
2011-12-18 - 2011-12-24,+3%
2011-12-25 - 2011-12-31,+5%



Top searches
ford,100
iphone,90
car,85
iphone 4s,85
toyota,65
honda,60
gas,60
cars,55
auto,50
boeing,45
gas prices,45
bmw,40
hyundai,35
nissan,35
chrysler,35
motorcycle,35
chevy,30
lockout,25
saab,25
audi,25



Rising searches
iphone 4s,Breakout
nfl lockout,+2,950%
lockout,+2,600%
iphone,+850%
gas prices,+500%
gas,+250%
subaru,+70%
car,+60%
cars,+60%
dodge,+60%



