Image Search interest
United States; 2011

Interest over time
Week,Home & Garden
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-3%
2011-01-16 - 2011-01-22,+3%
2011-01-23 - 2011-01-29,+0%
2011-01-30 - 2011-02-05,+3%
2011-02-06 - 2011-02-12,-2%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,+3%
2011-02-27 - 2011-03-05,+2%
2011-03-06 - 2011-03-12,+6%
2011-03-13 - 2011-03-19,+8%
2011-03-20 - 2011-03-26,+6%
2011-03-27 - 2011-04-02,+10%
2011-04-03 - 2011-04-09,+11%
2011-04-10 - 2011-04-16,+10%
2011-04-17 - 2011-04-23,+9%
2011-04-24 - 2011-04-30,+7%
2011-05-01 - 2011-05-07,+7%
2011-05-08 - 2011-05-14,+12%
2011-05-15 - 2011-05-21,+4%
2011-05-22 - 2011-05-28,+8%
2011-05-29 - 2011-06-04,+9%
2011-06-05 - 2011-06-11,+6%
2011-06-12 - 2011-06-18,+8%
2011-06-19 - 2011-06-25,+4%
2011-06-26 - 2011-07-02,+10%
2011-07-03 - 2011-07-09,+9%
2011-07-10 - 2011-07-16,+9%
2011-07-17 - 2011-07-23,+10%
2011-07-24 - 2011-07-30,+11%
2011-07-31 - 2011-08-06,+9%
2011-08-07 - 2011-08-13,+9%
2011-08-14 - 2011-08-20,+12%
2011-08-21 - 2011-08-27,+8%
2011-08-28 - 2011-09-03,+8%
2011-09-04 - 2011-09-10,+9%
2011-09-11 - 2011-09-17,+6%
2011-09-18 - 2011-09-24,+6%
2011-09-25 - 2011-10-01,+4%
2011-10-02 - 2011-10-08,+2%
2011-10-09 - 2011-10-15,+3%
2011-10-16 - 2011-10-22,+0%
2011-10-23 - 2011-10-29,-4%
2011-10-30 - 2011-11-05,+3%
2011-11-06 - 2011-11-12,+3%
2011-11-13 - 2011-11-19,+8%
2011-11-20 - 2011-11-26,+3%
2011-11-27 - 2011-12-03,+6%
2011-12-04 - 2011-12-10,+4%
2011-12-11 - 2011-12-17,+1%
2011-12-18 - 2011-12-24,-7%
2011-12-25 - 2011-12-31,+2%



Top searches
kitchen,100
bed,90
table,85
paint,70
bathroom,65
chair,60
furniture,60
house,55
door,50
garden,50
designs,50
pool,45
water,45
shower,40
lights,35
doors,35
clock,35
grass,30
box,30
lamp,25



Rising searches
pia toscano,Breakout
neff,+110%
nook,+110%
toaster,+80%
bathroom ideas,+60%
shingles,+60%
pillow,+50%
blanket,+40%
landscaping ideas,+40%
pottery barn,+40%



