Google Shopping interest
United States; 2011

Interest over time
Week,Law & Government
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+2%
2011-01-16 - 2011-01-22,+8%
2011-01-23 - 2011-01-29,+9%
2011-01-30 - 2011-02-05,+8%
2011-02-06 - 2011-02-12,+4%
2011-02-13 - 2011-02-19,+4%
2011-02-20 - 2011-02-26,+1%
2011-02-27 - 2011-03-05,+6%
2011-03-06 - 2011-03-12,+11%
2011-03-13 - 2011-03-19,+18%
2011-03-20 - 2011-03-26,+8%
2011-03-27 - 2011-04-02,+14%
2011-04-03 - 2011-04-09,+12%
2011-04-10 - 2011-04-16,+9%
2011-04-17 - 2011-04-23,+12%
2011-04-24 - 2011-04-30,+13%
2011-05-01 - 2011-05-07,+14%
2011-05-08 - 2011-05-14,+9%
2011-05-15 - 2011-05-21,+7%
2011-05-22 - 2011-05-28,+9%
2011-05-29 - 2011-06-04,+5%
2011-06-05 - 2011-06-11,+6%
2011-06-12 - 2011-06-18,+5%
2011-06-19 - 2011-06-25,+6%
2011-06-26 - 2011-07-02,+4%
2011-07-03 - 2011-07-09,+7%
2011-07-10 - 2011-07-16,+8%
2011-07-17 - 2011-07-23,+4%
2011-07-24 - 2011-07-30,+5%
2011-07-31 - 2011-08-06,+1%
2011-08-07 - 2011-08-13,+13%
2011-08-14 - 2011-08-20,+13%
2011-08-21 - 2011-08-27,+7%
2011-08-28 - 2011-09-03,+11%
2011-09-04 - 2011-09-10,+11%
2011-09-11 - 2011-09-17,+13%
2011-09-18 - 2011-09-24,+5%
2011-09-25 - 2011-10-01,+7%
2011-10-02 - 2011-10-08,+7%
2011-10-09 - 2011-10-15,+9%
2011-10-16 - 2011-10-22,+11%
2011-10-23 - 2011-10-29,+11%
2011-10-30 - 2011-11-05,+13%
2011-11-06 - 2011-11-12,+6%
2011-11-13 - 2011-11-19,+1%
2011-11-20 - 2011-11-26,-15%
2011-11-27 - 2011-12-03,-8%
2011-12-04 - 2011-12-10,-2%
2011-12-11 - 2011-12-17,-6%
2011-12-18 - 2011-12-24,-4%
2011-12-25 - 2011-12-31,-7%



Top searches
security camera,100
surveillance,85
police,70
insulation,60
army,55
home security,55
security systems,50
remington,45
security system,45
remington 700,35
safes,35
wireless security camera,30
fire extinguisher,30
pepper spray,30
security cameras,30
surveillance camera,30
security camera systems,25
baton,25
surveillance cameras,25
5.11,25



Rising searches
bodyguard 380,+450%
carbon monoxide alarm,+200%
wireless surveillance system,+140%
wireless security systems,+100%
carbon monoxide detector,+70%
surveillance systems,+70%
ergo,+60%
mapquest,+60%
smoke alarm,+60%
security camera systems,+50%



