News Search interest
United States; 2011

Interest over time
Week,Law & Government
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+6%
2011-01-16 - 2011-01-22,-5%
2011-01-23 - 2011-01-29,+10%
2011-01-30 - 2011-02-05,-12%
2011-02-06 - 2011-02-12,-11%
2011-02-13 - 2011-02-19,+1%
2011-02-20 - 2011-02-26,+1%
2011-02-27 - 2011-03-05,-5%
2011-03-06 - 2011-03-12,-15%
2011-03-13 - 2011-03-19,+14%
2011-03-20 - 2011-03-26,+2%
2011-03-27 - 2011-04-02,+1%
2011-04-03 - 2011-04-09,+19%
2011-04-10 - 2011-04-16,+6%
2011-04-17 - 2011-04-23,-8%
2011-04-24 - 2011-04-30,+13%
2011-05-01 - 2011-05-07,+13%
2011-05-08 - 2011-05-14,-14%
2011-05-15 - 2011-05-21,-15%
2011-05-22 - 2011-05-28,-14%
2011-05-29 - 2011-06-04,-12%
2011-06-05 - 2011-06-11,-11%
2011-06-12 - 2011-06-18,-10%
2011-06-19 - 2011-06-25,-1%
2011-06-26 - 2011-07-02,-1%
2011-07-03 - 2011-07-09,-5%
2011-07-10 - 2011-07-16,-13%
2011-07-17 - 2011-07-23,-19%
2011-07-24 - 2011-07-30,-10%
2011-07-31 - 2011-08-06,-8%
2011-08-07 - 2011-08-13,+0%
2011-08-14 - 2011-08-20,-11%
2011-08-21 - 2011-08-27,-29%
2011-08-28 - 2011-09-03,-26%
2011-09-04 - 2011-09-10,-18%
2011-09-11 - 2011-09-17,-17%
2011-09-18 - 2011-09-24,-13%
2011-09-25 - 2011-10-01,-11%
2011-10-02 - 2011-10-08,-4%
2011-10-09 - 2011-10-15,-17%
2011-10-16 - 2011-10-22,-7%
2011-10-23 - 2011-10-29,-8%
2011-10-30 - 2011-11-05,-13%
2011-11-06 - 2011-11-12,-11%
2011-11-13 - 2011-11-19,-18%
2011-11-20 - 2011-11-26,-21%
2011-11-27 - 2011-12-03,-17%
2011-12-04 - 2011-12-10,-12%
2011-12-11 - 2011-12-17,-19%
2011-12-18 - 2011-12-24,-12%
2011-12-25 - 2011-12-31,-29%



Top searches
obama,100
police,50
immigration,45
immigration immigration,45
budget,40
news,35
nuclear,30
japan,30
law,30
california,30
murder,30
shooting,25
government,25
unemployment,25
amanda knox,20
gaddafi,20
senate,20
nuclear japan,20
radiation,20
military,20



Rising searches
gaddafi,Breakout
nuclear japan,Breakout
royal wedding,+2,750%
radiation,+2,200%
japan,+1,700%
rick perry,+700%
amanda knox,+300%
government,+190%
nuclear,+180%
budget,+100%



