Google Shopping interest
United States; 2011

Interest over time
Week,News
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+0%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,-4%
2011-02-06 - 2011-02-12,-7%
2011-02-13 - 2011-02-19,-9%
2011-02-20 - 2011-02-26,-6%
2011-02-27 - 2011-03-05,-2%
2011-03-06 - 2011-03-12,-2%
2011-03-13 - 2011-03-19,-8%
2011-03-20 - 2011-03-26,-5%
2011-03-27 - 2011-04-02,-6%
2011-04-03 - 2011-04-09,-4%
2011-04-10 - 2011-04-16,-3%
2011-04-17 - 2011-04-23,-6%
2011-04-24 - 2011-04-30,-3%
2011-05-01 - 2011-05-07,-4%
2011-05-08 - 2011-05-14,-10%
2011-05-15 - 2011-05-21,-3%
2011-05-22 - 2011-05-28,-6%
2011-05-29 - 2011-06-04,-3%
2011-06-05 - 2011-06-11,-9%
2011-06-12 - 2011-06-18,-5%
2011-06-19 - 2011-06-25,-7%
2011-06-26 - 2011-07-02,-3%
2011-07-03 - 2011-07-09,-6%
2011-07-10 - 2011-07-16,-11%
2011-07-17 - 2011-07-23,-6%
2011-07-24 - 2011-07-30,-7%
2011-07-31 - 2011-08-06,-7%
2011-08-07 - 2011-08-13,-14%
2011-08-14 - 2011-08-20,-7%
2011-08-21 - 2011-08-27,-18%
2011-08-28 - 2011-09-03,-10%
2011-09-04 - 2011-09-10,-6%
2011-09-11 - 2011-09-17,-10%
2011-09-18 - 2011-09-24,-16%
2011-09-25 - 2011-10-01,-18%
2011-10-02 - 2011-10-08,-10%
2011-10-09 - 2011-10-15,-16%
2011-10-16 - 2011-10-22,-15%
2011-10-23 - 2011-10-29,-5%
2011-10-30 - 2011-11-05,+3%
2011-11-06 - 2011-11-12,-7%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-19%
2011-11-27 - 2011-12-03,-14%
2011-12-04 - 2011-12-10,-7%
2011-12-11 - 2011-12-17,-5%
2011-12-18 - 2011-12-24,+0%
2011-12-25 - 2011-12-31,-6%



Top searches
humidifier,100
citizen,70
taylormade,70
weather,65
taylor made,30
taylormade burner,30
eco drive,25
weather station,25
news,20
citizen eco drive,20
citizen watch,20
cool mist humidifier,15
jessica simpson,15
taylor made burner,15
radiator,15
r9,15
taylormade irons,15
survival,10
crane humidifier,10
taylormade r11,10



Rising searches
charlie sheen,Breakout
steve jobs,Breakout
taylormade burner 2.0,Breakout
taylormade r11,Breakout
taylormade r11 driver,Breakout
taylormade burner superfast,+250%
taylormade superfast,+200%
citizen skyhawk,+70%
citizen titanium,+40%
eco drive,+40%



