Web Search interest
United States; 2011

Interest over time
Week,News
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+20%
2011-01-16 - 2011-01-22,+8%
2011-01-23 - 2011-01-29,+11%
2011-01-30 - 2011-02-05,+33%
2011-02-06 - 2011-02-12,+1%
2011-02-13 - 2011-02-19,-1%
2011-02-20 - 2011-02-26,+1%
2011-02-27 - 2011-03-05,+4%
2011-03-06 - 2011-03-12,+9%
2011-03-13 - 2011-03-19,+3%
2011-03-20 - 2011-03-26,+5%
2011-03-27 - 2011-04-02,+0%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,+1%
2011-04-17 - 2011-04-23,-3%
2011-04-24 - 2011-04-30,+16%
2011-05-01 - 2011-05-07,+7%
2011-05-08 - 2011-05-14,+0%
2011-05-15 - 2011-05-21,-3%
2011-05-22 - 2011-05-28,+9%
2011-05-29 - 2011-06-04,-5%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,-3%
2011-06-19 - 2011-06-25,-3%
2011-06-26 - 2011-07-02,-5%
2011-07-03 - 2011-07-09,-3%
2011-07-10 - 2011-07-16,-5%
2011-07-17 - 2011-07-23,+8%
2011-07-24 - 2011-07-30,+7%
2011-07-31 - 2011-08-06,-1%
2011-08-07 - 2011-08-13,+3%
2011-08-14 - 2011-08-20,-1%
2011-08-21 - 2011-08-27,+20%
2011-08-28 - 2011-09-03,-1%
2011-09-04 - 2011-09-10,+3%
2011-09-11 - 2011-09-17,-1%
2011-09-18 - 2011-09-24,-1%
2011-09-25 - 2011-10-01,-4%
2011-10-02 - 2011-10-08,+12%
2011-10-09 - 2011-10-15,-5%
2011-10-16 - 2011-10-22,-1%
2011-10-23 - 2011-10-29,-4%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,+0%
2011-11-13 - 2011-11-19,-4%
2011-11-20 - 2011-11-26,-15%
2011-11-27 - 2011-12-03,-8%
2011-12-04 - 2011-12-10,-4%
2011-12-11 - 2011-12-17,-7%
2011-12-18 - 2011-12-24,-12%
2011-12-25 - 2011-12-31,-12%



Top searches
weather,100
news,60
cnn,20
fox,15
fox news,10
yahoo,10
weather channel,10
weather forecast,5
msnbc,5
kim kardashian,5
drudge,5
espn,5
bbc,5
noaa,5
new york times,5
steve jobs,5
accuweather,5
charlie sheen,5
obama,5
daily news,5



Rising searches
amy winehouse,+1,350%
charlie sheen,+750%
steve jobs,+700%
ron paul,+500%
nytimes,+60%
accuweather,+50%
cnn news,+50%
the weather channel,+50%
weather channel,+50%
huffington post,+40%



