News Search interest
United States; 2011

Interest over time
Week,Online Communities
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+13%
2011-01-16 - 2011-01-22,+3%
2011-01-23 - 2011-01-29,+8%
2011-01-30 - 2011-02-05,+1%
2011-02-06 - 2011-02-12,+1%
2011-02-13 - 2011-02-19,-1%
2011-02-20 - 2011-02-26,-7%
2011-02-27 - 2011-03-05,-11%
2011-03-06 - 2011-03-12,-15%
2011-03-13 - 2011-03-19,-21%
2011-03-20 - 2011-03-26,-11%
2011-03-27 - 2011-04-02,-7%
2011-04-03 - 2011-04-09,-14%
2011-04-10 - 2011-04-16,-6%
2011-04-17 - 2011-04-23,-14%
2011-04-24 - 2011-04-30,-20%
2011-05-01 - 2011-05-07,-23%
2011-05-08 - 2011-05-14,-1%
2011-05-15 - 2011-05-21,+1%
2011-05-22 - 2011-05-28,-4%
2011-05-29 - 2011-06-04,-8%
2011-06-05 - 2011-06-11,-13%
2011-06-12 - 2011-06-18,-11%
2011-06-19 - 2011-06-25,-13%
2011-06-26 - 2011-07-02,+0%
2011-07-03 - 2011-07-09,+41%
2011-07-10 - 2011-07-16,+0%
2011-07-17 - 2011-07-23,+17%
2011-07-24 - 2011-07-30,+3%
2011-07-31 - 2011-08-06,+0%
2011-08-07 - 2011-08-13,+25%
2011-08-14 - 2011-08-20,-4%
2011-08-21 - 2011-08-27,-15%
2011-08-28 - 2011-09-03,-14%
2011-09-04 - 2011-09-10,-7%
2011-09-11 - 2011-09-17,-10%
2011-09-18 - 2011-09-24,+21%
2011-09-25 - 2011-10-01,+13%
2011-10-02 - 2011-10-08,-11%
2011-10-09 - 2011-10-15,-10%
2011-10-16 - 2011-10-22,-11%
2011-10-23 - 2011-10-29,-14%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-14%
2011-11-13 - 2011-11-19,+6%
2011-11-20 - 2011-11-26,-14%
2011-11-27 - 2011-12-03,-17%
2011-12-04 - 2011-12-10,-13%
2011-12-11 - 2011-12-17,-6%
2011-12-18 - 2011-12-24,-8%
2011-12-25 - 2011-12-31,-7%



Top searches
facebook,100
facebook facebook,100
twitter,25
twitter twitter,25
facebook login,20
twitter tips,5
linkedin linkedin,5
social media,5
linkedin,5
dating,5
myspace,5
zuckerberg,5
facebook.com,5
women,5
borders,0
mark zuckerberg,0
tumblr,0
tumblr tumblr,0
pirate bay,0
face,0



Rising searches
borders,+750%
tumblr,+180%
dating,+150%
tumblr tumblr,+150%
linkedin,+130%
linkedin linkedin,+130%
chat,+120%
facebook google,+100%
social media,+90%
blog,+80%



