Web Search interest
United States; 2011

Interest over time
Week,Pets & Animals
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-8%
2011-01-16 - 2011-01-22,-7%
2011-01-23 - 2011-01-29,-7%
2011-01-30 - 2011-02-05,-10%
2011-02-06 - 2011-02-12,-7%
2011-02-13 - 2011-02-19,+1%
2011-02-20 - 2011-02-26,-9%
2011-02-27 - 2011-03-05,-8%
2011-03-06 - 2011-03-12,-7%
2011-03-13 - 2011-03-19,-3%
2011-03-20 - 2011-03-26,+1%
2011-03-27 - 2011-04-02,-1%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,+0%
2011-04-17 - 2011-04-23,+4%
2011-04-24 - 2011-04-30,+2%
2011-05-01 - 2011-05-07,+0%
2011-05-08 - 2011-05-14,+5%
2011-05-15 - 2011-05-21,+4%
2011-05-22 - 2011-05-28,+5%
2011-05-29 - 2011-06-04,+9%
2011-06-05 - 2011-06-11,+5%
2011-06-12 - 2011-06-18,+5%
2011-06-19 - 2011-06-25,+3%
2011-06-26 - 2011-07-02,+8%
2011-07-03 - 2011-07-09,+5%
2011-07-10 - 2011-07-16,+7%
2011-07-17 - 2011-07-23,+3%
2011-07-24 - 2011-07-30,+1%
2011-07-31 - 2011-08-06,+2%
2011-08-07 - 2011-08-13,+2%
2011-08-14 - 2011-08-20,+3%
2011-08-21 - 2011-08-27,-2%
2011-08-28 - 2011-09-03,-2%
2011-09-04 - 2011-09-10,+0%
2011-09-11 - 2011-09-17,-5%
2011-09-18 - 2011-09-24,-4%
2011-09-25 - 2011-10-01,+2%
2011-10-02 - 2011-10-08,-5%
2011-10-09 - 2011-10-15,-1%
2011-10-16 - 2011-10-22,+1%
2011-10-23 - 2011-10-29,-1%
2011-10-30 - 2011-11-05,-7%
2011-11-06 - 2011-11-12,-4%
2011-11-13 - 2011-11-19,-3%
2011-11-20 - 2011-11-26,+2%
2011-11-27 - 2011-12-03,+0%
2011-12-04 - 2011-12-10,-1%
2011-12-11 - 2011-12-17,+2%
2011-12-18 - 2011-12-24,+2%
2011-12-25 - 2011-12-31,+10%



Top searches
dog,100
birds,50
dogs,50
animal,40
cat,40
puppies,40
angry birds,35
fish,25
cats,20
zoo,20
puppy,20
horse,15
petsmart,15
puppies for sale,15
horses,10
petco,10
pets,10
hamster,10
grooveshark,10
bulldog,10



Rising searches
angry birds rio,Breakout
terraria,Breakout
honey badger,+2,550%
angry birds online,+1,250%
angry bird,+450%
angry birds,+450%
angry birds game,+450%
my little pony,+250%
birds,+200%
wale,+70%



