Image Search interest
United States; 2011

Interest over time
Week,Real Estate
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-2%
2011-01-16 - 2011-01-22,-3%
2011-01-23 - 2011-01-29,-3%
2011-01-30 - 2011-02-05,-5%
2011-02-06 - 2011-02-12,-6%
2011-02-13 - 2011-02-19,-8%
2011-02-20 - 2011-02-26,-2%
2011-02-27 - 2011-03-05,-6%
2011-03-06 - 2011-03-12,-4%
2011-03-13 - 2011-03-19,-8%
2011-03-20 - 2011-03-26,-2%
2011-03-27 - 2011-04-02,-5%
2011-04-03 - 2011-04-09,-6%
2011-04-10 - 2011-04-16,-10%
2011-04-17 - 2011-04-23,-11%
2011-04-24 - 2011-04-30,-18%
2011-05-01 - 2011-05-07,-20%
2011-05-08 - 2011-05-14,-11%
2011-05-15 - 2011-05-21,-6%
2011-05-22 - 2011-05-28,-8%
2011-05-29 - 2011-06-04,-10%
2011-06-05 - 2011-06-11,-8%
2011-06-12 - 2011-06-18,-6%
2011-06-19 - 2011-06-25,-8%
2011-06-26 - 2011-07-02,-2%
2011-07-03 - 2011-07-09,+4%
2011-07-10 - 2011-07-16,-3%
2011-07-17 - 2011-07-23,-5%
2011-07-24 - 2011-07-30,-1%
2011-07-31 - 2011-08-06,+2%
2011-08-07 - 2011-08-13,-2%
2011-08-14 - 2011-08-20,-2%
2011-08-21 - 2011-08-27,-10%
2011-08-28 - 2011-09-03,-7%
2011-09-04 - 2011-09-10,-9%
2011-09-11 - 2011-09-17,-12%
2011-09-18 - 2011-09-24,-15%
2011-09-25 - 2011-10-01,-15%
2011-10-02 - 2011-10-08,-20%
2011-10-09 - 2011-10-15,-17%
2011-10-16 - 2011-10-22,-21%
2011-10-23 - 2011-10-29,-24%
2011-10-30 - 2011-11-05,-21%
2011-11-06 - 2011-11-12,-23%
2011-11-13 - 2011-11-19,-21%
2011-11-20 - 2011-11-26,-27%
2011-11-27 - 2011-12-03,-22%
2011-12-04 - 2011-12-10,-21%
2011-12-11 - 2011-12-17,-21%
2011-12-18 - 2011-12-24,-23%
2011-12-25 - 2011-12-31,-20%



Top searches
house,100
houses,60
florida,55
apartments,55
jersey shore,55
homes,45
beach,45
home,30
rent,25
cabin,20
apartment,20
building,20
real estate,20
for rent,20
floor plans,15
house plans,15
orlando,15
housing,10
mansions,10
cabins,10



Rising searches
deena,+2,050%
jersey shore deena,+2,000%
finn,+150%
freedom tower,+120%
destin,+80%
jersey shore sammi,+80%
mobile homes,+60%
flats,+50%
apartments,+40%
condos,+40%



