YouTube Search interest
United States; 2011

Interest over time
Week,Real Estate
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+6%
2011-01-16 - 2011-01-22,+6%
2011-01-23 - 2011-01-29,-3%
2011-01-30 - 2011-02-05,+3%
2011-02-06 - 2011-02-12,-2%
2011-02-13 - 2011-02-19,-4%
2011-02-20 - 2011-02-26,-9%
2011-02-27 - 2011-03-05,-9%
2011-03-06 - 2011-03-12,-6%
2011-03-13 - 2011-03-19,-10%
2011-03-20 - 2011-03-26,-4%
2011-03-27 - 2011-04-02,-11%
2011-04-03 - 2011-04-09,-8%
2011-04-10 - 2011-04-16,-12%
2011-04-17 - 2011-04-23,-17%
2011-04-24 - 2011-04-30,-11%
2011-05-01 - 2011-05-07,-13%
2011-05-08 - 2011-05-14,-17%
2011-05-15 - 2011-05-21,-11%
2011-05-22 - 2011-05-28,-13%
2011-05-29 - 2011-06-04,-16%
2011-06-05 - 2011-06-11,-14%
2011-06-12 - 2011-06-18,-17%
2011-06-19 - 2011-06-25,-14%
2011-06-26 - 2011-07-02,-9%
2011-07-03 - 2011-07-09,-14%
2011-07-10 - 2011-07-16,+7%
2011-07-17 - 2011-07-23,+10%
2011-07-24 - 2011-07-30,+11%
2011-07-31 - 2011-08-06,+8%
2011-08-07 - 2011-08-13,-3%
2011-08-14 - 2011-08-20,+3%
2011-08-21 - 2011-08-27,+6%
2011-08-28 - 2011-09-03,+9%
2011-09-04 - 2011-09-10,+0%
2011-09-11 - 2011-09-17,-1%
2011-09-18 - 2011-09-24,-6%
2011-09-25 - 2011-10-01,-3%
2011-10-02 - 2011-10-08,-3%
2011-10-09 - 2011-10-15,-4%
2011-10-16 - 2011-10-22,-2%
2011-10-23 - 2011-10-29,-9%
2011-10-30 - 2011-11-05,-10%
2011-11-06 - 2011-11-12,-4%
2011-11-13 - 2011-11-19,-2%
2011-11-20 - 2011-11-26,-7%
2011-11-27 - 2011-12-03,-6%
2011-12-04 - 2011-12-10,-6%
2011-12-11 - 2011-12-17,-7%
2011-12-18 - 2011-12-24,-6%
2011-12-25 - 2011-12-31,-6%



Top searches
amanda perez,100
skyscraper,90
jersey shore,90
florida,50
rent,45
amanda perez angel,40
real estate,35
houses,30
roommate,25
candy kisses,25
edc,25
good feeling,25
good feeling florida,20
apartment,20
roomate,20
cabin,15
beach house,15
minecraft house,15
edc 2011,15
vecinos,15



Rising searches
good feeling,Breakout
good feeling florida,Breakout
skyscraper,+2,850%
minecraft house,+700%
roomate,+200%
roommate,+90%
florida,+70%
houses,+60%
real estate,+50%
amanda perez angel,+40%



