News Search interest
United States; 2011

Interest over time
Week,Travel
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+0%
2011-01-16 - 2011-01-22,+3%
2011-01-23 - 2011-01-29,+14%
2011-01-30 - 2011-02-05,+8%
2011-02-06 - 2011-02-12,-8%
2011-02-13 - 2011-02-19,-3%
2011-02-20 - 2011-02-26,+3%
2011-02-27 - 2011-03-05,-5%
2011-03-06 - 2011-03-12,+36%
2011-03-13 - 2011-03-19,+5%
2011-03-20 - 2011-03-26,-5%
2011-03-27 - 2011-04-02,+8%
2011-04-03 - 2011-04-09,+20%
2011-04-10 - 2011-04-16,+3%
2011-04-17 - 2011-04-23,+6%
2011-04-24 - 2011-04-30,+2%
2011-05-01 - 2011-05-07,-11%
2011-05-08 - 2011-05-14,+11%
2011-05-15 - 2011-05-21,+12%
2011-05-22 - 2011-05-28,+9%
2011-05-29 - 2011-06-04,+21%
2011-06-05 - 2011-06-11,+12%
2011-06-12 - 2011-06-18,+17%
2011-06-19 - 2011-06-25,+21%
2011-06-26 - 2011-07-02,+18%
2011-07-03 - 2011-07-09,+20%
2011-07-10 - 2011-07-16,+15%
2011-07-17 - 2011-07-23,+52%
2011-07-24 - 2011-07-30,+32%
2011-07-31 - 2011-08-06,+17%
2011-08-07 - 2011-08-13,+6%
2011-08-14 - 2011-08-20,+20%
2011-08-21 - 2011-08-27,+33%
2011-08-28 - 2011-09-03,+36%
2011-09-04 - 2011-09-10,+6%
2011-09-11 - 2011-09-17,+12%
2011-09-18 - 2011-09-24,+5%
2011-09-25 - 2011-10-01,+3%
2011-10-02 - 2011-10-08,-3%
2011-10-09 - 2011-10-15,+23%
2011-10-16 - 2011-10-22,+2%
2011-10-23 - 2011-10-29,+5%
2011-10-30 - 2011-11-05,+9%
2011-11-06 - 2011-11-12,+42%
2011-11-13 - 2011-11-19,+30%
2011-11-20 - 2011-11-26,+9%
2011-11-27 - 2011-12-03,+15%
2011-12-04 - 2011-12-10,+9%
2011-12-11 - 2011-12-17,+9%
2011-12-18 - 2011-12-24,+2%
2011-12-25 - 2011-12-31,+15%



Top searches
airlines,100
airport,45
vegas,30
sandusky sandusky,30
sandusky,30
las vegas,30
southwest,30
united,20
american airlines,20
southwest airlines,20
flight,20
hotel,20
delta,20
travel,20
boeing,20
hawaii,15
ios 5,15
united airlines,15
airline,15
amtrak,15



Rising searches
ios 5,Breakout
jerry sandusky,Breakout
sandusky sandusky,+4,800%
sandusky,+4,300%
paterno paterno,+1,350%
tunisia,+650%
yosemite,+400%
boeing,+350%
norway,+160%
plane,+80%



