Image Search interest
United States; 2012

Interest over time
Week,Business & Industrial
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+10%
2012-01-15 - 2012-01-21,+8%
2012-01-22 - 2012-01-28,+8%
2012-01-29 - 2012-02-04,+15%
2012-02-05 - 2012-02-11,+13%
2012-02-12 - 2012-02-18,+18%
2012-02-19 - 2012-02-25,+17%
2012-02-26 - 2012-03-03,+22%
2012-03-04 - 2012-03-10,+27%
2012-03-11 - 2012-03-17,+23%
2012-03-18 - 2012-03-24,+21%
2012-03-25 - 2012-03-31,+24%
2012-04-01 - 2012-04-07,+18%
2012-04-08 - 2012-04-14,+18%
2012-04-15 - 2012-04-21,+24%
2012-04-22 - 2012-04-28,+24%
2012-04-29 - 2012-05-05,+27%
2012-05-06 - 2012-05-12,+26%
2012-05-13 - 2012-05-19,+22%
2012-05-20 - 2012-05-26,+21%
2012-05-27 - 2012-06-02,+15%
2012-06-03 - 2012-06-09,+15%
2012-06-10 - 2012-06-16,+9%
2012-06-17 - 2012-06-23,+8%
2012-06-24 - 2012-06-30,+9%
2012-07-01 - 2012-07-07,+4%
2012-07-08 - 2012-07-14,+12%
2012-07-15 - 2012-07-21,+6%
2012-07-22 - 2012-07-28,+6%
2012-07-29 - 2012-08-04,+9%
2012-08-05 - 2012-08-11,+9%
2012-08-12 - 2012-08-18,+10%
2012-08-19 - 2012-08-25,+17%
2012-08-26 - 2012-09-01,+15%
2012-09-02 - 2012-09-08,+15%
2012-09-09 - 2012-09-15,+19%
2012-09-16 - 2012-09-22,+23%
2012-09-23 - 2012-09-29,+27%
2012-09-30 - 2012-10-06,+22%
2012-10-07 - 2012-10-13,+23%
2012-10-14 - 2012-10-20,+28%
2012-10-21 - 2012-10-27,+22%
2012-10-28 - 2012-11-03,+14%
2012-11-04 - 2012-11-10,+22%
2012-11-11 - 2012-11-17,+23%
2012-11-18 - 2012-11-24,+8%
2012-11-25 - 2012-12-01,+28%
2012-12-02 - 2012-12-08,+23%
2012-12-09 - 2012-12-15,+17%
2012-12-16 - 2012-12-22,+9%
2012-12-23 - 2012-12-29,-6%
2012-12-30 - 2013-01-05,+4%



Top searches
tree,100
water,55
plant,45
paper,40
wood,40
cheetah,40
trees,40
business,35
space,35
fabric,35
cheetah print,35
cow,30
images,30
leopard,25
farm,25
energy,25
oil,25
zebra print,25
forest,20
bridge,20



Rising searches
blue ivy,Breakout
cole sprouse 2012,Breakout
dylan sprouse 2012,Breakout
one direction,+2,100%
dylan sprouse,+350%
cole sprouse,+300%
yield,+200%
ivy,+190%
minecraft,+170%
cheetah print,+70%



