Image Search interest
United States; 2012

Interest over time
Week,Food & Drink
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+2%
2012-01-15 - 2012-01-21,+9%
2012-01-22 - 2012-01-28,+6%
2012-01-29 - 2012-02-04,+9%
2012-02-05 - 2012-02-11,+7%
2012-02-12 - 2012-02-18,+5%
2012-02-19 - 2012-02-25,+6%
2012-02-26 - 2012-03-03,+5%
2012-03-04 - 2012-03-10,+4%
2012-03-11 - 2012-03-17,+0%
2012-03-18 - 2012-03-24,+1%
2012-03-25 - 2012-03-31,+4%
2012-04-01 - 2012-04-07,+0%
2012-04-08 - 2012-04-14,+1%
2012-04-15 - 2012-04-21,+6%
2012-04-22 - 2012-04-28,+5%
2012-04-29 - 2012-05-05,+9%
2012-05-06 - 2012-05-12,+9%
2012-05-13 - 2012-05-19,+4%
2012-05-20 - 2012-05-26,+1%
2012-05-27 - 2012-06-02,+5%
2012-06-03 - 2012-06-09,+4%
2012-06-10 - 2012-06-16,+1%
2012-06-17 - 2012-06-23,+0%
2012-06-24 - 2012-06-30,+0%
2012-07-01 - 2012-07-07,+0%
2012-07-08 - 2012-07-14,+2%
2012-07-15 - 2012-07-21,+4%
2012-07-22 - 2012-07-28,+4%
2012-07-29 - 2012-08-04,+9%
2012-08-05 - 2012-08-11,-1%
2012-08-12 - 2012-08-18,+0%
2012-08-19 - 2012-08-25,+4%
2012-08-26 - 2012-09-01,+5%
2012-09-02 - 2012-09-08,+5%
2012-09-09 - 2012-09-15,+5%
2012-09-16 - 2012-09-22,+5%
2012-09-23 - 2012-09-29,+9%
2012-09-30 - 2012-10-06,+9%
2012-10-07 - 2012-10-13,+10%
2012-10-14 - 2012-10-20,+9%
2012-10-21 - 2012-10-27,+7%
2012-10-28 - 2012-11-03,+4%
2012-11-04 - 2012-11-10,+7%
2012-11-11 - 2012-11-17,+15%
2012-11-18 - 2012-11-24,+25%
2012-11-25 - 2012-12-01,+9%
2012-12-02 - 2012-12-08,+14%
2012-12-09 - 2012-12-15,+7%
2012-12-16 - 2012-12-22,+11%
2012-12-23 - 2012-12-29,+6%
2012-12-30 - 2013-01-05,+5%



Top searches
cake,100
food,50
chicken,45
cakes,45
chocolate,45
beer,35
candy,35
cheese,30
pizza,30
cupcakes,30
fruit,25
coffee,25
ice cream,20
cookies,20
cupcake,20
birthday cake,20
restaurant,15
bread,15
salad,15
wine,15



Rising searches
yolo,+1,000%
slender,+650%
slender man,+550%
fast food,+100%
pretzel,+100%
twinkies,+90%
princess bubblegum,+80%
cereal guy,+70%
chick fil a,+70%
hello kitty cake,+50%



