Web Search interest
United States; 2012

Interest over time
Week,Home & Garden
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-1%
2012-01-15 - 2012-01-21,-3%
2012-01-22 - 2012-01-28,-6%
2012-01-29 - 2012-02-04,-3%
2012-02-05 - 2012-02-11,-5%
2012-02-12 - 2012-02-18,-6%
2012-02-19 - 2012-02-25,-1%
2012-02-26 - 2012-03-03,-2%
2012-03-04 - 2012-03-10,+0%
2012-03-11 - 2012-03-17,+2%
2012-03-18 - 2012-03-24,+2%
2012-03-25 - 2012-03-31,+3%
2012-04-01 - 2012-04-07,+2%
2012-04-08 - 2012-04-14,+0%
2012-04-15 - 2012-04-21,+7%
2012-04-22 - 2012-04-28,+5%
2012-04-29 - 2012-05-05,+6%
2012-05-06 - 2012-05-12,+7%
2012-05-13 - 2012-05-19,+9%
2012-05-20 - 2012-05-26,+10%
2012-05-27 - 2012-06-02,+16%
2012-06-03 - 2012-06-09,+10%
2012-06-10 - 2012-06-16,+8%
2012-06-17 - 2012-06-23,+9%
2012-06-24 - 2012-06-30,+9%
2012-07-01 - 2012-07-07,+15%
2012-07-08 - 2012-07-14,+7%
2012-07-15 - 2012-07-21,+8%
2012-07-22 - 2012-07-28,+5%
2012-07-29 - 2012-08-04,+3%
2012-08-05 - 2012-08-11,+2%
2012-08-12 - 2012-08-18,+5%
2012-08-19 - 2012-08-25,+5%
2012-08-26 - 2012-09-01,+1%
2012-09-02 - 2012-09-08,+2%
2012-09-09 - 2012-09-15,-2%
2012-09-16 - 2012-09-22,-2%
2012-09-23 - 2012-09-29,-2%
2012-09-30 - 2012-10-06,-2%
2012-10-07 - 2012-10-13,-5%
2012-10-14 - 2012-10-20,-8%
2012-10-21 - 2012-10-27,-7%
2012-10-28 - 2012-11-03,-10%
2012-11-04 - 2012-11-10,-7%
2012-11-11 - 2012-11-17,-5%
2012-11-18 - 2012-11-24,+7%
2012-11-25 - 2012-12-01,+3%
2012-12-02 - 2012-12-08,+1%
2012-12-09 - 2012-12-15,-2%
2012-12-16 - 2012-12-22,-6%
2012-12-23 - 2012-12-29,+1%
2012-12-30 - 2013-01-05,+3%



Top searches
furniture,100
home depot,80
lowes,70
ikea,35
bed bath beyond,30
mattress,25
pottery barn,25
amc,25
walmart,20
sears,20
amazon,20
bedding,15
vacuum,15
clock,15
lights,15
refrigerator,15
target,15
covers,15
box,10
led,10



Rising searches
100 floors,Breakout
facebook covers,+2,450%
ratchet,+200%
minecraft seeds,+190%
etsy,+60%
barstool,+50%
myredbook,+50%
nespresso,+50%
vitamix,+50%
amazon,+40%



