News Search interest
United States; 2012

Interest over time
Week,Internet & Telecom
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+6%
2012-01-15 - 2012-01-21,-3%
2012-01-22 - 2012-01-28,+0%
2012-01-29 - 2012-02-04,-3%
2012-02-05 - 2012-02-11,+3%
2012-02-12 - 2012-02-18,-3%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+3%
2012-03-04 - 2012-03-10,-3%
2012-03-11 - 2012-03-17,-3%
2012-03-18 - 2012-03-24,-3%
2012-03-25 - 2012-03-31,-3%
2012-04-01 - 2012-04-07,+14%
2012-04-08 - 2012-04-14,+11%
2012-04-15 - 2012-04-21,+11%
2012-04-22 - 2012-04-28,+14%
2012-04-29 - 2012-05-05,+14%
2012-05-06 - 2012-05-12,+29%
2012-05-13 - 2012-05-19,+17%
2012-05-20 - 2012-05-26,+11%
2012-05-27 - 2012-06-02,+11%
2012-06-03 - 2012-06-09,+23%
2012-06-10 - 2012-06-16,+37%
2012-06-17 - 2012-06-23,+34%
2012-06-24 - 2012-06-30,+29%
2012-07-01 - 2012-07-07,+31%
2012-07-08 - 2012-07-14,+57%
2012-07-15 - 2012-07-21,+40%
2012-07-22 - 2012-07-28,+31%
2012-07-29 - 2012-08-04,+23%
2012-08-05 - 2012-08-11,+23%
2012-08-12 - 2012-08-18,+31%
2012-08-19 - 2012-08-25,+40%
2012-08-26 - 2012-09-01,+40%
2012-09-02 - 2012-09-08,+51%
2012-09-09 - 2012-09-15,+186%
2012-09-16 - 2012-09-22,+83%
2012-09-23 - 2012-09-29,+66%
2012-09-30 - 2012-10-06,+43%
2012-10-07 - 2012-10-13,+26%
2012-10-14 - 2012-10-20,+26%
2012-10-21 - 2012-10-27,+23%
2012-10-28 - 2012-11-03,+6%
2012-11-04 - 2012-11-10,-6%
2012-11-11 - 2012-11-17,+14%
2012-11-18 - 2012-11-24,+14%
2012-11-25 - 2012-12-01,+11%
2012-12-02 - 2012-12-08,+20%
2012-12-09 - 2012-12-15,+20%
2012-12-16 - 2012-12-22,+23%
2012-12-23 - 2012-12-29,+11%
2012-12-30 - 2013-01-05,+3%



Top searches
iphone,100
iphone 5,70
google,55
verizon,30
samsung,25
android,20
nexus,20
sprint,15
mail,15
yahoo,15
htc,15
mobile,15
at&t,15
yahoo mail,10
samsung galaxy,10
apple,10
msn,10
twitter,10
blackberry,10
nokia,10



Rising searches
galaxy s3,Breakout
htc one,Breakout
nexus 4,Breakout
nexus 7,Breakout
windows 8,+1,100%
samsung note,+900%
the voice,+300%
tumblr,+250%
voice,+130%
time warner,+110%



