Image Search interest
United States; 2012

Interest over time
Week,Online Communities
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-2%
2012-01-15 - 2012-01-21,-2%
2012-01-22 - 2012-01-28,-2%
2012-01-29 - 2012-02-04,-2%
2012-02-05 - 2012-02-11,-4%
2012-02-12 - 2012-02-18,-3%
2012-02-19 - 2012-02-25,-1%
2012-02-26 - 2012-03-03,+1%
2012-03-04 - 2012-03-10,+3%
2012-03-11 - 2012-03-17,+7%
2012-03-18 - 2012-03-24,+10%
2012-03-25 - 2012-03-31,+9%
2012-04-01 - 2012-04-07,+5%
2012-04-08 - 2012-04-14,+4%
2012-04-15 - 2012-04-21,+7%
2012-04-22 - 2012-04-28,+4%
2012-04-29 - 2012-05-05,+5%
2012-05-06 - 2012-05-12,+4%
2012-05-13 - 2012-05-19,+7%
2012-05-20 - 2012-05-26,+8%
2012-05-27 - 2012-06-02,+7%
2012-06-03 - 2012-06-09,+2%
2012-06-10 - 2012-06-16,+3%
2012-06-17 - 2012-06-23,+2%
2012-06-24 - 2012-06-30,+4%
2012-07-01 - 2012-07-07,+5%
2012-07-08 - 2012-07-14,+0%
2012-07-15 - 2012-07-21,-7%
2012-07-22 - 2012-07-28,-2%
2012-07-29 - 2012-08-04,-3%
2012-08-05 - 2012-08-11,-4%
2012-08-12 - 2012-08-18,-1%
2012-08-19 - 2012-08-25,+3%
2012-08-26 - 2012-09-01,+4%
2012-09-02 - 2012-09-08,+0%
2012-09-09 - 2012-09-15,-2%
2012-09-16 - 2012-09-22,+7%
2012-09-23 - 2012-09-29,+3%
2012-09-30 - 2012-10-06,+3%
2012-10-07 - 2012-10-13,-2%
2012-10-14 - 2012-10-20,-1%
2012-10-21 - 2012-10-27,-5%
2012-10-28 - 2012-11-03,-5%
2012-11-04 - 2012-11-10,+7%
2012-11-11 - 2012-11-17,+2%
2012-11-18 - 2012-11-24,+1%
2012-11-25 - 2012-12-01,+10%
2012-12-02 - 2012-12-08,+8%
2012-12-09 - 2012-12-15,+0%
2012-12-16 - 2012-12-22,+2%
2012-12-23 - 2012-12-29,+9%
2012-12-30 - 2013-01-05,+4%



Top searches
wallpaper,100
backgrounds,45
background,40
clip art,40
facebook,35
tumblr,35
wallpapers,30
gif,20
love,20
cool,15
images,15
women,15
twitter,10
smiley,10
wallpaper hd,10
zebra,10
pink,10
cool backgrounds,10
background wallpaper,5
smiley face,5



Rising searches
tumblr quotes,+1,050%
tumblr pictures,+300%
tumblr,+250%
tumblr backgrounds,+160%
cute couples,+150%
minecraft,+110%
cute pictures,+100%
love quotes,+90%
gifs,+60%
photos,+60%



