YouTube Search interest
United States; 2012

Interest over time
Week,Online Communities
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-2%
2012-01-15 - 2012-01-21,+7%
2012-01-22 - 2012-01-28,+4%
2012-01-29 - 2012-02-04,+2%
2012-02-05 - 2012-02-11,+4%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,+9%
2012-02-26 - 2012-03-03,+3%
2012-03-04 - 2012-03-10,+1%
2012-03-11 - 2012-03-17,+5%
2012-03-18 - 2012-03-24,+1%
2012-03-25 - 2012-03-31,+0%
2012-04-01 - 2012-04-07,+0%
2012-04-08 - 2012-04-14,+3%
2012-04-15 - 2012-04-21,+0%
2012-04-22 - 2012-04-28,+0%
2012-04-29 - 2012-05-05,-2%
2012-05-06 - 2012-05-12,+2%
2012-05-13 - 2012-05-19,-4%
2012-05-20 - 2012-05-26,-1%
2012-05-27 - 2012-06-02,+5%
2012-06-03 - 2012-06-09,+1%
2012-06-10 - 2012-06-16,+4%
2012-06-17 - 2012-06-23,+2%
2012-06-24 - 2012-06-30,+5%
2012-07-01 - 2012-07-07,+7%
2012-07-08 - 2012-07-14,+9%
2012-07-15 - 2012-07-21,+8%
2012-07-22 - 2012-07-28,+10%
2012-07-29 - 2012-08-04,+9%
2012-08-05 - 2012-08-11,+5%
2012-08-12 - 2012-08-18,+9%
2012-08-19 - 2012-08-25,+9%
2012-08-26 - 2012-09-01,+2%
2012-09-02 - 2012-09-08,+1%
2012-09-09 - 2012-09-15,-1%
2012-09-16 - 2012-09-22,-1%
2012-09-23 - 2012-09-29,+0%
2012-09-30 - 2012-10-06,+2%
2012-10-07 - 2012-10-13,+0%
2012-10-14 - 2012-10-20,+2%
2012-10-21 - 2012-10-27,-3%
2012-10-28 - 2012-11-03,-4%
2012-11-04 - 2012-11-10,-4%
2012-11-11 - 2012-11-17,+0%
2012-11-18 - 2012-11-24,+2%
2012-11-25 - 2012-12-01,-1%
2012-12-02 - 2012-12-08,+1%
2012-12-09 - 2012-12-15,+0%
2012-12-16 - 2012-12-22,+1%
2012-12-23 - 2012-12-29,+7%
2012-12-30 - 2013-01-05,+4%



Top searches
facebook,100
club penguin,85
lana del rey,70
wale,70
skrillex,65
women,65
jesse y joy,50
gmod,45
skyblock,45
lindsey stirling,45
prince royce,35
russian,30
tumblr,30
club penguin codes,25
secrets,25
cumbias,25
dating,25
twitter,20
las cosas pequenas,20
minecraft skyblock,20



Rising searches
las cosas pequenas,Breakout
lindsey stirling,+4,100%
lana del rey,+1,250%
jesse y joy,+700%
lana del ray,+700%
prince royce,+600%
minecraft skyblock,+500%
skyblock,+450%
club penguin codes,+300%
skyblock survival,+180%



