YouTube Search interest
United States; 2012

Interest over time
Week,People & Society
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+2%
2012-01-15 - 2012-01-21,+2%
2012-01-22 - 2012-01-28,+0%
2012-01-29 - 2012-02-04,+1%
2012-02-05 - 2012-02-11,+1%
2012-02-12 - 2012-02-18,-4%
2012-02-19 - 2012-02-25,+1%
2012-02-26 - 2012-03-03,+2%
2012-03-04 - 2012-03-10,+23%
2012-03-11 - 2012-03-17,+7%
2012-03-18 - 2012-03-24,+6%
2012-03-25 - 2012-03-31,+4%
2012-04-01 - 2012-04-07,+5%
2012-04-08 - 2012-04-14,+6%
2012-04-15 - 2012-04-21,+9%
2012-04-22 - 2012-04-28,+4%
2012-04-29 - 2012-05-05,+6%
2012-05-06 - 2012-05-12,+5%
2012-05-13 - 2012-05-19,+5%
2012-05-20 - 2012-05-26,+9%
2012-05-27 - 2012-06-02,+9%
2012-06-03 - 2012-06-09,+9%
2012-06-10 - 2012-06-16,+9%
2012-06-17 - 2012-06-23,+4%
2012-06-24 - 2012-06-30,+5%
2012-07-01 - 2012-07-07,+2%
2012-07-08 - 2012-07-14,+5%
2012-07-15 - 2012-07-21,+10%
2012-07-22 - 2012-07-28,+9%
2012-07-29 - 2012-08-04,+10%
2012-08-05 - 2012-08-11,+7%
2012-08-12 - 2012-08-18,+6%
2012-08-19 - 2012-08-25,+6%
2012-08-26 - 2012-09-01,+7%
2012-09-02 - 2012-09-08,+7%
2012-09-09 - 2012-09-15,+21%
2012-09-16 - 2012-09-22,+16%
2012-09-23 - 2012-09-29,+7%
2012-09-30 - 2012-10-06,+11%
2012-10-07 - 2012-10-13,+10%
2012-10-14 - 2012-10-20,+11%
2012-10-21 - 2012-10-27,+11%
2012-10-28 - 2012-11-03,+10%
2012-11-04 - 2012-11-10,+12%
2012-11-11 - 2012-11-17,+12%
2012-11-18 - 2012-11-24,+10%
2012-11-25 - 2012-12-01,+10%
2012-12-02 - 2012-12-08,+11%
2012-12-09 - 2012-12-15,+10%
2012-12-16 - 2012-12-22,+15%
2012-12-23 - 2012-12-29,+10%
2012-12-30 - 2013-01-05,+11%



Top searches
2012,100
baby,15
girls,15
hot,10
kids,5
illuminati,5
tech n9ne,5
kony,5
kony 2012,5
justin bieber,5
jesus,5
christina perri,5
ufo,5
starships,5
kissing,5
friends,5
epic meal time,5
zombie,5
pregnant,5
babies,0



Rising searches
2012 new songs,Breakout
fail compilation 2012,Breakout
imagine dragons,Breakout
innocence of muslims,Breakout
kony,Breakout
kony 2012,Breakout
starships,Breakout
2012,+1,450%
youtube,+60%
barbie,+40%



